participantID,trialNum,stage,stageName,trueCountry,differentials,likelihoods,correct,correctCountryIdx,likelihoodCorrect,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
558fa9dffdf99b7ce2924662,6,3,People & Culture,SOUTH KOREA,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM, MYANMAR","9, 8, 8, 8, 7",,,,9,JAPAN,
56ce42d9465e580006846f57,1,1,Geography,SWITZERLAND,"ROMANIA, ALBANIA, SERBIA","4, 3, 3",,,,4,ROMANIA,
56ce42d9465e580006846f57,1,2,History & Politics,SWITZERLAND,"ROMANIA, ALBANIA, SERBIA, ESTONIA","4, 3, 3, 5",,,,5,ESTONIA,
56ce42d9465e580006846f57,1,3,People & Culture,SWITZERLAND,"ROMANIA, ALBANIA, SERBIA, ESTONIA","4, 3, 3, 5",,,,5,ESTONIA,
56ce42d9465e580006846f57,2,1,Geography,BOTSWANA,"ETHOPIA, SUDAN, NAMIBIA, RWANDA","3, 2, 3, 4",,,,4,RWANDA,
56ce42d9465e580006846f57,2,2,History & Politics,BOTSWANA,"ETHOPIA, SUDAN, NAMIBIA, RWANDA","4, 2, 3, 4",,,,4,ETHOPIA,
56ce42d9465e580006846f57,2,3,People & Culture,BOTSWANA,"ETHOPIA, SUDAN, NAMIBIA, RWANDA","4, 2, 3, 2",,,,4,ETHOPIA,
56ce42d9465e580006846f57,3,1,Geography,COLOMBIA,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY","7, 5, 5, 4",,,,7,ARGENTINA,
56ce42d9465e580006846f57,3,2,History & Politics,COLOMBIA,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY","7, 5, 5, 4",,,,7,ARGENTINA,
56ce42d9465e580006846f57,3,3,People & Culture,COLOMBIA,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY","7, 5, 8, 4",,,,8,CHILE,
56ce42d9465e580006846f57,4,1,Geography,SOUTH KOREA,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN","3, 4, 5",,,,5,TURKMENISTAN,
56ce42d9465e580006846f57,4,2,History & Politics,SOUTH KOREA,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN","4, 4, 5",,,,5,TURKMENISTAN,
56ce42d9465e580006846f57,4,3,People & Culture,SOUTH KOREA,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN, SOUTH KOREA","4, 4, 5, 8",,,,8,SOUTH KOREA,
56ce42d9465e580006846f57,5,1,Geography,MONGOLIA,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN","6, 4, 5",,,,6,TURKMENISTAN,
56ce42d9465e580006846f57,5,2,History & Politics,MONGOLIA,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN","6, 4, 6",,,,6,TURKMENISTAN,
56ce42d9465e580006846f57,5,3,People & Culture,MONGOLIA,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN","6, 5, 6",,,,6,TURKMENISTAN,
56ce42d9465e580006846f57,6,1,Geography,GREECE,"PORTUGAL, SPAIN, CROATIA","2, 3, 4",,,,4,CROATIA,
56ce42d9465e580006846f57,6,2,History & Politics,GREECE,"PORTUGAL, SPAIN, CROATIA, ITALY","2, 3, 4, 8",,,,8,ITALY,
56ce42d9465e580006846f57,6,3,People & Culture,GREECE,"PORTUGAL, SPAIN, CROATIA, ITALY, ROMANIA","2, 3, 4, 8, 8",,,,8,ITALY,
57732cfcda75d30001487571,1,1,Geography,MONGOLIA,"AFGHANISTAN, RUSSIA","5, 3",,,,5,AFGHANISTAN,
57732cfcda75d30001487571,1,2,History & Politics,MONGOLIA,"AFGHANISTAN, RUSSIA, PAKISTAN","5, 3, 5",,,,5,AFGHANISTAN,
57732cfcda75d30001487571,1,3,People & Culture,MONGOLIA,"AFGHANISTAN, RUSSIA, PAKISTAN, LAOS","1, 1, 1, 4",,,,4,LAOS,
57732cfcda75d30001487571,2,1,Geography,BOTSWANA,KENYA,3,,,,3,KENYA,
57732cfcda75d30001487571,2,2,History & Politics,BOTSWANA,KENYA,3,,,,3,KENYA,
57732cfcda75d30001487571,2,3,People & Culture,BOTSWANA,"KENYA, NAMIBIA, MADAGASCAR","1, 2, 3",,,,3,MADAGASCAR,
57732cfcda75d30001487571,3,1,Geography,SOUTH KOREA,"PHILLIPINES, JAPAN","2, 3",,,,3,JAPAN,
57732cfcda75d30001487571,3,2,History & Politics,SOUTH KOREA,"PHILLIPINES, JAPAN, CHINA","2, 2, 1",,,,2,PHILLIPINES,
57732cfcda75d30001487571,3,3,People & Culture,SOUTH KOREA,"PHILLIPINES, JAPAN, CHINA, SOUTH KOREA","2, 2, 1, 4",,,,4,SOUTH KOREA,
57732cfcda75d30001487571,4,1,Geography,GREECE,RUSSIA,5,,,,5,RUSSIA,
57732cfcda75d30001487571,4,2,History & Politics,GREECE,"RUSSIA, POLAND","1, 5",,,,5,POLAND,
57732cfcda75d30001487571,4,3,People & Culture,GREECE,"RUSSIA, POLAND","1, 5",,,,5,POLAND,
57732cfcda75d30001487571,5,1,Geography,SWITZERLAND,LATVIA,2,,,,2,LATVIA,
57732cfcda75d30001487571,5,2,History & Politics,SWITZERLAND,"LATVIA, SWITZERLAND","2, 3",,,,3,SWITZERLAND,
57732cfcda75d30001487571,5,3,People & Culture,SWITZERLAND,"LATVIA, SWITZERLAND","2, 4",,,,4,SWITZERLAND,
57732cfcda75d30001487571,6,1,Geography,COLOMBIA,CHILE,3,,,,3,CHILE,
57732cfcda75d30001487571,6,2,History & Politics,COLOMBIA,"CHILE, BRAZIL","3, 6",,,,6,BRAZIL,
57732cfcda75d30001487571,6,3,People & Culture,COLOMBIA,"CHILE, BRAZIL","5, 3",,,,5,CHILE,
57a5c633275be6000135b61c,1,1,Geography,COLOMBIA,SAN DIEGO,5,,,,5,SAN DIEGO,
57a5c633275be6000135b61c,1,2,History & Politics,COLOMBIA,"SAN DIEGO, TEXAS","5, 6",,,,6,TEXAS,
57a5c633275be6000135b61c,1,3,People & Culture,COLOMBIA,"SAN DIEGO, TEXAS","5, 6",,,,6,TEXAS,
57a5c633275be6000135b61c,2,1,Geography,SOUTH KOREA,JAPAN,5,,,,5,JAPAN,
57a5c633275be6000135b61c,2,2,History & Politics,SOUTH KOREA,"JAPAN, THAILAND","5, 6",,,,6,THAILAND,
57a5c633275be6000135b61c,2,3,People & Culture,SOUTH KOREA,"JAPAN, THAILAND","5, 6",,,,6,THAILAND,
57a5c633275be6000135b61c,3,1,Geography,BOTSWANA,UGANDA,5,,,,5,UGANDA,
57a5c633275be6000135b61c,3,2,History & Politics,BOTSWANA,UGANDA,5,,,,5,UGANDA,
57a5c633275be6000135b61c,3,3,People & Culture,BOTSWANA,UGANDA,5,,,,5,UGANDA,
57a5c633275be6000135b61c,4,1,Geography,GREECE,FRANCE,3,,,,3,FRANCE,
57a5c633275be6000135b61c,4,2,History & Politics,GREECE,"FRANCE, SPAIN","3, 3",,,,3,FRANCE,
57a5c633275be6000135b61c,4,3,People & Culture,GREECE,"FRANCE, SPAIN","3, 6",,,,6,SPAIN,
57a5c633275be6000135b61c,5,1,Geography,SWITZERLAND,FRANCE,3,,,,3,FRANCE,
57a5c633275be6000135b61c,5,2,History & Politics,SWITZERLAND,FRANCE,3,,,,3,FRANCE,
57a5c633275be6000135b61c,5,3,People & Culture,SWITZERLAND,"FRANCE, SPAIN","3, 6",,,,6,SPAIN,
57a5c633275be6000135b61c,6,1,Geography,MONGOLIA,JAPAN,3,,,,3,JAPAN,
57a5c633275be6000135b61c,6,2,History & Politics,MONGOLIA,JAPAN,3,,,,3,JAPAN,
57a5c633275be6000135b61c,6,3,People & Culture,MONGOLIA,JAPAN,3,,,,3,JAPAN,
57dd3b0e91b7fc0001493db9,1,1,Geography,COLOMBIA,"BRAZIL, PERU, ECUADOR","8, 9, 8",,,,9,PERU,
57dd3b0e91b7fc0001493db9,1,2,History & Politics,COLOMBIA,"BRAZIL, PERU, ECUADOR","8, 9, 8",,,,9,PERU,
57dd3b0e91b7fc0001493db9,1,3,People & Culture,COLOMBIA,"BRAZIL, PERU, ECUADOR, URUGUAY, CHILE","8, 9, 8, 8, 4",,,,9,PERU,
57dd3b0e91b7fc0001493db9,2,1,Geography,MONGOLIA,"KAZAKHSTAN, RUSSIA","4, 1",,,,4,KAZAKHSTAN,
57dd3b0e91b7fc0001493db9,2,2,History & Politics,MONGOLIA,"KAZAKHSTAN, RUSSIA, LATVIA, ESTONIA","4, 1, 8, 8",,,,8,LATVIA,
57dd3b0e91b7fc0001493db9,2,3,People & Culture,MONGOLIA,"KAZAKHSTAN, NEPAL","4, 8",,,,8,NEPAL,
57dd3b0e91b7fc0001493db9,3,1,Geography,BOTSWANA,"TOGO, ZAIRE, CONGO","4, 6, 7",,,,7,CONGO,
57dd3b0e91b7fc0001493db9,3,2,History & Politics,BOTSWANA,"TOGO, ZAIRE, CONGO, NIGERIA","4, 6, 7, 2",,,,7,CONGO,
57dd3b0e91b7fc0001493db9,3,3,People & Culture,BOTSWANA,"ZAIRE, CONGO","6, 7",,,,7,CONGO,
57dd3b0e91b7fc0001493db9,4,1,Geography,GREECE,"RUSSIA, KAZAKHSTAN","8, 8",,,,8,RUSSIA,
57dd3b0e91b7fc0001493db9,4,2,History & Politics,GREECE,"RUSSIA, KAZAKHSTAN, LATVIA","8, 8, 4",,,,8,RUSSIA,
57dd3b0e91b7fc0001493db9,4,3,People & Culture,GREECE,"RUSSIA, KAZAKHSTAN, LATVIA, BULGARIA","2, 8, 4, 9",,,,9,BULGARIA,
57dd3b0e91b7fc0001493db9,5,1,Geography,SWITZERLAND,"AUSTRIA, LATVIA","7, 2",,,,7,AUSTRIA,
57dd3b0e91b7fc0001493db9,5,2,History & Politics,SWITZERLAND,"AUSTRIA, LATVIA, FINLAND, NORWAY","7, 2, 8, 4",,,,8,FINLAND,
57dd3b0e91b7fc0001493db9,5,3,People & Culture,SWITZERLAND,"AUSTRIA, LATVIA, FINLAND, NORWAY, DENMARK","7, 2, 8, 4, 9",,,,9,DENMARK,
57dd3b0e91b7fc0001493db9,6,1,Geography,SOUTH KOREA,"KAZAKHSTAN, UZBEKISTAN","7, 5",,,,7,KAZAKHSTAN,
57dd3b0e91b7fc0001493db9,6,2,History & Politics,SOUTH KOREA,"KAZAKHSTAN, UZBEKISTAN, NORTH KOREA","7, 5, 1",,,,7,KAZAKHSTAN,
57dd3b0e91b7fc0001493db9,6,3,People & Culture,SOUTH KOREA,"KAZAKHSTAN, UZBEKISTAN, NORTH KOREA, JAPAN","7, 5, 1, 10",,,,10,JAPAN,
581ccd016c73180001fa5b2a,1,1,Geography,SOUTH KOREA,"SINGAPORE, BURMA, SRI LANKA","6, 6, 6",,,,6,SINGAPORE,
581ccd016c73180001fa5b2a,1,2,History & Politics,SOUTH KOREA,"SINGAPORE, SRI LANKA","8, 7",,,,8,SINGAPORE,
581ccd016c73180001fa5b2a,1,3,People & Culture,SOUTH KOREA,SOUTH KOREA,6,,,,6,SOUTH KOREA,
581ccd016c73180001fa5b2a,2,1,Geography,GREECE,"GERMANY, DENMARK, SWEDEN","6, 6, 6",,,,6,GERMANY,
581ccd016c73180001fa5b2a,2,2,History & Politics,GREECE,"GREECE, SERBIA, TURKEY","6, 6, 6",,,,6,GREECE,
581ccd016c73180001fa5b2a,2,3,People & Culture,GREECE,SERBIA,8,,,,8,SERBIA,
581ccd016c73180001fa5b2a,3,1,Geography,BOTSWANA,"ZAIRE, CONGO, CENTRAL AFRICAN REPUBLIC, NIGER","3, 3, 3, 2",,,,3,ZAIRE,
581ccd016c73180001fa5b2a,3,2,History & Politics,BOTSWANA,"ZAIRE, CONGO, CENTRAL AFRICAN REPUBLIC","4, 4, 4",,,,4,ZAIRE,
581ccd016c73180001fa5b2a,3,3,People & Culture,BOTSWANA,"ZAIRE, CONGO, CENTRAL AFRICAN REPUBLIC, RWANDA, LESOTHO","2, 3, 2, 2, 8",,,,8,LESOTHO,
581ccd016c73180001fa5b2a,4,1,Geography,COLOMBIA,"PERU, BOLIVIA, ARGENTINA, COLUMBIA, EQUADOR, BRAZIL","4, 4, 2, 7, 3, 1",,,,7,COLUMBIA,
581ccd016c73180001fa5b2a,4,2,History & Politics,COLOMBIA,"PERU, BOLIVIA, ARGENTINA, COLUMBIA, EQUADOR, BRAZIL, CHILE","4, 4, 2, 7, 3, 1, 3",,,,7,COLUMBIA,
581ccd016c73180001fa5b2a,4,3,People & Culture,COLOMBIA,"PERU, COLUMBIA, EQUADOR, CHILE","4, 8, 4, 4",,,,8,COLUMBIA,
581ccd016c73180001fa5b2a,5,1,Geography,MONGOLIA,"UZBEKISTAN, TAJIKISTAN, TURKMENISTAN, MONGOLIA","5, 6, 6, 6",,,,6,TAJIKISTAN,
581ccd016c73180001fa5b2a,5,2,History & Politics,MONGOLIA,"UZBEKISTAN, TAJIKISTAN, TURKMENISTAN, MONGOLIA, KYRGISTAN","7, 4, 6, 3, 3",,,,7,UZBEKISTAN,
581ccd016c73180001fa5b2a,5,3,People & Culture,MONGOLIA,"TIBET, MONGOLIA","6, 7",,,,7,MONGOLIA,
581ccd016c73180001fa5b2a,6,1,Geography,SWITZERLAND,"AUSTRIA, SWITZERLAND, LUXENBOURG, LIECHTENSTEIN, MONACO","5, 6, 6, 6, 6",,,,6,SWITZERLAND,
581ccd016c73180001fa5b2a,6,2,History & Politics,SWITZERLAND,"AUSTRIA, SWITZERLAND, LUXENBOURG, LIECHTENSTEIN","5, 4, 3, 3",,,,5,AUSTRIA,
581ccd016c73180001fa5b2a,6,3,People & Culture,SWITZERLAND,"AUSTRIA, SWITZERLAND","5, 4",,,,5,AUSTRIA,
594abd98215cbd000146debc,1,1,Geography,GREECE,"FINLAND, SWITZERLAND, SWEDEN, ROMANIA, ITALY","3, 5, 6, 7, 2",,,,7,ROMANIA,
594abd98215cbd000146debc,1,2,History & Politics,GREECE,"FINLAND, SWITZERLAND, SWEDEN, ROMANIA, ITALY","3, 5, 6, 7, 8",,,,8,ITALY,
594abd98215cbd000146debc,1,3,People & Culture,GREECE,"FINLAND, SWITZERLAND, SWEDEN, ROMANIA, ITALY","3, 5, 6, 7, 6",,,,7,ROMANIA,
594abd98215cbd000146debc,2,1,Geography,SWITZERLAND,"AUSTRIA, GERMANY, FRANCE, SWITZERLAND, DENMARK","7, 4, 2, 5, 4",,,,7,AUSTRIA,
594abd98215cbd000146debc,2,2,History & Politics,SWITZERLAND,"AUSTRIA, GERMANY, FRANCE, SWITZERLAND, DENMARK","4, 4, 2, 9, 4",,,,9,SWITZERLAND,
594abd98215cbd000146debc,2,3,People & Culture,SWITZERLAND,"AUSTRIA, GERMANY, FRANCE, SWITZERLAND, DENMARK","3, 2, 2, 3, 4",,,,4,DENMARK,
594abd98215cbd000146debc,3,1,Geography,MONGOLIA,"SUDAN, SOUTH AFRICA, JAPAN, CHINA, VIETNAM","6, 4, 4, 2, 3",,,,6,SUDAN,
594abd98215cbd000146debc,3,2,History & Politics,MONGOLIA,"SUDAN, SOUTH AFRICA, JAPAN, CHINA, VIETNAM, PAKISTAN","6, 4, 4, 2, 3, 4",,,,6,SUDAN,
594abd98215cbd000146debc,3,3,People & Culture,MONGOLIA,"SUDAN, SOUTH AFRICA, JAPAN, CHINA, VIETNAM, PAKISTAN, TIBET","6, 4, 4, 2, 3, 4, 5",,,,6,SUDAN,
594abd98215cbd000146debc,4,1,Geography,BOTSWANA,"KENYA, SOUTH AFRICA, ZAMBIA, BOTSWANA, ZIMBABWAY","8, 3, 2, 3, 4",,,,8,KENYA,
594abd98215cbd000146debc,4,2,History & Politics,BOTSWANA,"KENYA, SOUTH AFRICA, ZAMBIA, BOTSWANA, ZIMBABWAY","5, 3, 2, 3, 4",,,,5,KENYA,
594abd98215cbd000146debc,4,3,People & Culture,BOTSWANA,"KENYA, SOUTH AFRICA, ZAMBIA, BOTSWANA, ZIMBABWAY","5, 1, 6, 5, 2",,,,6,ZAMBIA,
594abd98215cbd000146debc,5,1,Geography,SOUTH KOREA,"KOREA, CHINA, JAPAN, INDIA, TAIWAN","6, 7, 2, 3, 4",,,,7,CHINA,
594abd98215cbd000146debc,5,2,History & Politics,SOUTH KOREA,"KOREA, CHINA, JAPAN, INDIA, TAIWAN","5, 3, 5, 3, 4",,,,5,KOREA,
594abd98215cbd000146debc,5,3,People & Culture,SOUTH KOREA,"KOREA, CHINA, JAPAN, INDIA, TAIWAN","5, 3, 8, 3, 4",,,,8,JAPAN,
594abd98215cbd000146debc,6,1,Geography,COLOMBIA,"PERU, BRAZIL, COLUMBIA, ECUDOR, COSTA RICA","5, 6, 6, 6, 6",,,,6,BRAZIL,
594abd98215cbd000146debc,6,2,History & Politics,COLOMBIA,"PERU, BRAZIL, COLUMBIA, ECUDOR, COSTA RICA","3, 6, 4, 4, 8",,,,8,COSTA RICA,
594abd98215cbd000146debc,6,3,People & Culture,COLOMBIA,"PERU, BRAZIL, COLUMBIA, ECUDOR, COSTA RICA","3, 7, 4, 4, 7",,,,7,BRAZIL,
59cbec4f0aaf750001213f9c,1,1,Geography,GREECE,"RUSSIA, GERMANY","7, 4",,,,7,RUSSIA,
59cbec4f0aaf750001213f9c,1,2,History & Politics,GREECE,"RUSSIA, GERMANY, ITALY","2, 2, 8",,,,8,ITALY,
59cbec4f0aaf750001213f9c,1,3,People & Culture,GREECE,"RUSSIA, GERMANY, ITALY, ROMENIA","2, 2, 2, 8",,,,8,ROMENIA,
59cbec4f0aaf750001213f9c,2,1,Geography,SWITZERLAND,"FINLAND, POLAND","7, 7",,,,7,FINLAND,
59cbec4f0aaf750001213f9c,2,2,History & Politics,SWITZERLAND,"FINLAND, POLAND","9, 6",,,,9,FINLAND,
59cbec4f0aaf750001213f9c,2,3,People & Culture,SWITZERLAND,"FINLAND, POLAND","6, 9",,,,9,POLAND,
59cbec4f0aaf750001213f9c,3,1,Geography,COLOMBIA,"CHILE, ARGENTINA, COLOMBIA","5, 7, 9",,,,9,COLOMBIA,
59cbec4f0aaf750001213f9c,3,2,History & Politics,COLOMBIA,"ARGENTINA, COLOMBIA, CHILE","6, 9, 4",,,,9,COLOMBIA,
59cbec4f0aaf750001213f9c,3,3,People & Culture,COLOMBIA,"COLOMBIA, CHILE","9, 4",,,,9,COLOMBIA,
59cbec4f0aaf750001213f9c,4,1,Geography,BOTSWANA,"NIGER, UGANDA, SUDAN","7, 8, 5",,,,8,UGANDA,
59cbec4f0aaf750001213f9c,4,2,History & Politics,BOTSWANA,"NIGER, UGANDA, SUDAN","9, 7, 5",,,,9,NIGER,
59cbec4f0aaf750001213f9c,4,3,People & Culture,BOTSWANA,"NIGER, UGANDA, SUDAN","10, 5, 5",,,,10,NIGER,
59cbec4f0aaf750001213f9c,5,1,Geography,MONGOLIA,NEPAL,7,,,,7,NEPAL,
59cbec4f0aaf750001213f9c,5,2,History & Politics,MONGOLIA,"NEPAL, TIBETE","7, 8",,,,8,TIBETE,
59cbec4f0aaf750001213f9c,5,3,People & Culture,MONGOLIA,"NEPAL, TIBETE","5, 9",,,,9,TIBETE,
59cbec4f0aaf750001213f9c,6,1,Geography,SOUTH KOREA,"INDONESIA, PHILIPINES","7, 7",,,,7,INDONESIA,
59cbec4f0aaf750001213f9c,6,2,History & Politics,SOUTH KOREA,"INDONESIA, PHILIPINES, SRI LANKA","7, 7, 8",,,,8,SRI LANKA,
59cbec4f0aaf750001213f9c,6,3,People & Culture,SOUTH KOREA,"INDONESIA, PHILIPINES, SRI LANKA, JAPAN","7, 7, 6, 8",,,,8,JAPAN,
5a3bdd2c8d005a0001829f3e,1,1,Geography,GREECE,"PORTUGAL, ENGLAND, SWITZERLAND, NORWAY, SWEDEN","6, 6, 7, 5, 5",,,,7,SWITZERLAND,
5a3bdd2c8d005a0001829f3e,1,2,History & Politics,GREECE,"PORTUGAL, ENGLAND, SWITZERLAND, NORWAY, SWEDEN, FRANCE, ITALY","6, 6, 7, 5, 5, 6, 8",,,,8,ITALY,
5a3bdd2c8d005a0001829f3e,1,3,People & Culture,GREECE,"PORTUGAL, ENGLAND, SWITZERLAND, NORWAY, SWEDEN, FRANCE, ITALY","6, 6, 7, 5, 5, 6, 8",,,,8,ITALY,
5a3bdd2c8d005a0001829f3e,2,1,Geography,COLOMBIA,"ARGENTINA, COLOMBIA","7, 8",,,,8,COLOMBIA,
5a3bdd2c8d005a0001829f3e,2,2,History & Politics,COLOMBIA,"ARGENTINA, COLOMBIA, VENEZUELA","7, 8, 3",,,,8,COLOMBIA,
5a3bdd2c8d005a0001829f3e,2,3,People & Culture,COLOMBIA,"ARGENTINA, COLOMBIA, VENEZUELA, CHILE","7, 8, 3, 3",,,,8,COLOMBIA,
5a3bdd2c8d005a0001829f3e,3,1,Geography,SWITZERLAND,"DENMARK, NETHERLANDS","7, 7",,,,7,DENMARK,
5a3bdd2c8d005a0001829f3e,3,2,History & Politics,SWITZERLAND,"DENMARK, NETHERLANDS, SWITZERLAND, NORWAY, FINLAND","7, 7, 4, 3, 3",,,,7,DENMARK,
5a3bdd2c8d005a0001829f3e,3,3,People & Culture,SWITZERLAND,"DENMARK, NETHERLANDS, SWITZERLAND, NORWAY, FINLAND, PORTUGAL","7, 7, 4, 3, 3, 4",,,,7,DENMARK,
5a3bdd2c8d005a0001829f3e,4,1,Geography,BOTSWANA,"CONGO, ZAMBIA, NIGER","5, 5, 5",,,,5,CONGO,
5a3bdd2c8d005a0001829f3e,4,2,History & Politics,BOTSWANA,"CONGO, ZAMBIA, NIGER, CHAD","5, 5, 5, 7",,,,7,CHAD,
5a3bdd2c8d005a0001829f3e,4,3,People & Culture,BOTSWANA,"CONGO, ZAMBIA, NIGER, CHAD, ZIMBABWE","5, 5, 5, 7, 7",,,,7,CHAD,
5a3bdd2c8d005a0001829f3e,5,1,Geography,SOUTH KOREA,"THAILAND, JAPAN, NORTH KOREA, SOUTH KOREA","5, 5, 3, 4",,,,5,THAILAND,
5a3bdd2c8d005a0001829f3e,5,2,History & Politics,SOUTH KOREA,"THAILAND, JAPAN, NORTH KOREA, SOUTH KOREA, INDONESIA","5, 5, 3, 4, 3",,,,5,THAILAND,
5a3bdd2c8d005a0001829f3e,5,3,People & Culture,SOUTH KOREA,"THAILAND, JAPAN, NORTH KOREA, SOUTH KOREA, INDONESIA, MYANMAR","5, 5, 3, 4, 3, 2",,,,5,THAILAND,
5a3bdd2c8d005a0001829f3e,6,1,Geography,MONGOLIA,"IRAN, MONGOLIA","8, 8",,,,8,IRAN,
5a3bdd2c8d005a0001829f3e,6,2,History & Politics,MONGOLIA,"IRAN, MONGOLIA","8, 8",,,,8,IRAN,
5a3bdd2c8d005a0001829f3e,6,3,People & Culture,MONGOLIA,"IRAN, MONGOLIA","8, 8",,,,8,IRAN,
5a9e9fc46219a30001f54994,1,1,Geography,COLOMBIA,CHILE,7,,,,7,CHILE,
5a9e9fc46219a30001f54994,1,2,History & Politics,COLOMBIA,"CHILE, BRAZIL","7, 6",,,,7,CHILE,
5a9e9fc46219a30001f54994,1,3,People & Culture,COLOMBIA,"CHILE, BRAZIL, ARGENTINA","7, 6, 9",,,,9,ARGENTINA,
5a9e9fc46219a30001f54994,2,1,Geography,SOUTH KOREA,"TIBET, INDIA, PAKISTAN","4, 8, 7",,,,8,INDIA,
5a9e9fc46219a30001f54994,2,2,History & Politics,SOUTH KOREA,"TIBET, INDIA, PAKISTAN","4, 8, 7",,,,8,INDIA,
5a9e9fc46219a30001f54994,2,3,People & Culture,SOUTH KOREA,"TIBET, INDIA, PAKISTAN, SIBERIA","4, 8, 7, 6",,,,8,INDIA,
5a9e9fc46219a30001f54994,3,1,Geography,MONGOLIA,"INDIA, PAKISTAN, TIBET","8, 6, 6",,,,8,INDIA,
5a9e9fc46219a30001f54994,3,2,History & Politics,MONGOLIA,"INDIA, PAKISTAN, TIBET","8, 6, 6",,,,8,INDIA,
5a9e9fc46219a30001f54994,3,3,People & Culture,MONGOLIA,"INDIA, PAKISTAN, TIBET","8, 6, 6",,,,8,INDIA,
5a9e9fc46219a30001f54994,4,1,Geography,GREECE,"GERMANY, ROMANIA, BULGARIA","5, 6, 6",,,,6,ROMANIA,
5a9e9fc46219a30001f54994,4,2,History & Politics,GREECE,"GERMANY, ROMANIA, BULGARIA","5, 6, 6",,,,6,ROMANIA,
5a9e9fc46219a30001f54994,4,3,People & Culture,GREECE,"GERMANY, ROMANIA, BULGARIA","5, 6, 9",,,,9,BULGARIA,
5a9e9fc46219a30001f54994,5,1,Geography,BOTSWANA,"GHANA, ETHIOPIA, SOUTH AFRICA","5, 6, 6",,,,6,ETHIOPIA,
5a9e9fc46219a30001f54994,5,2,History & Politics,BOTSWANA,"GHANA, ETHIOPIA, SOUTH AFRICA","5, 6, 6",,,,6,ETHIOPIA,
