PROLIFIC_PID,What is the capital of Finland?,Which of these is landlocked?,King Felipe VI is the monarch for which of these countries?,Which of these countries is NOT on the west coast of Africa?,The origin of the Euphrates river is in which modern day country?,Which of these is the world’s highest Peak?,Which of these countries’ flags is not rectangular?,Which of these countries does NOT cross the Equator?,Which of these countries has a population of over 20 million?,Kuala Lumpur is the capital of which country?,Which of these countries has more cars than people?,Which of these is NOT the name of one of the three major island groups in the Pacific Ocean?,Which of these volcanoes lies on the east coast of Sicily?,Transylvania is a region in which country?,What is the capital of Brazil?,What colour is the star on the flag of Ghana?,Which of these countries does Kazakhstan NOT border?,How many countries are there with the word “Guinea” in their name?,Which of these countries does NOT have a ‘dollar’ as a form of currency?,Which of these rivers does NOT pass through China?,"Tokyo, Osaka and Kyoto are cities in which country?",Which ocean separates the eastern coast of USA and Western Europe?,The Amazon Rainforest is in which continent?,Which of these is NOT a US state?,Poland’s flag has stripes of two colours: white and which colour?,Which of these deserts are in South America?,Madagascar is a country in which continent?,"The Angkor Wat is the largest religious monument in the world, located in which country?",Which of these countries’ flags has a tree?,The 2008 Olympics were held in which country?,Which country has won more FIFA world cups than any other country?,What did Ceylon change its name to in 1972?,What is the capital of Canada?,"To the nearest billion, how large is the world's population?",What is the name of the microstate located between Spain and France?,What is the name of the largest river to flow through Paris?,Constantinople and Byzantium are former names of which major city?,What African country has the largest population?,The Union Jack is the name of the flag of which country?,Christ the Redeemer is a statue in which country?,Score
5f3ac193f436407465a3d08e,Helsinki,Poland,Spain,Zambia,Jordan,Everest,Nepal,Indonesia,Peru,Philippines,Monaco,Odesia,Vesuvius,Romania,Brasilia,Black,China,2,Hong Kong,Yangtze,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,UK,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Egypt,UK,Brazil,28
6139c8d8b7a236f133e89b7a,Helsinki,Serbia,Portugal,Zambia,Afghanistan,Everest,Bhutan,Indonesia,Peru,Philippines,San Marino,Micronesia,Vesuvius,Romania,Rio de Janeiro,Gold,China,4,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Laos,Cyprus,China,Brazil,Sri Lanka,Quebec,7 billion,Liechtenstein,Vienne,Istanbul,Nigeria,UK,Brazil,22
5e7d1ad43c00ce3a395d2de9,Helsinki,Serbia,France,Zambia,Jordan,Everest,Nepal,India,Peru,Malaysia,Monaco,Odesia,Vesuvius,Romania,Brasilia,Black,Uzbekistan,3,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,China,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,32
5f19dc86afa07c0894f60578,Helsinki,Poland,Spain,Zambia,Jordan,Everest,Nepal,India,Peru,,US,Melanesia,Milos,Romania,Brasilia,White,China,4,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Mongolia,Lebanon,China,Argentina,Sri Lanka,Ottawa,8 billion,Andorra,Vienne,Athens,Nigeria,UK,Brazil,27
5f736265f33fef07b1cd8b21,Helsinki,Serbia,France,Senegal,Turkey,Everest,Nepal,Brazil,Peru,Philippines,Iceland,Micronesia,Etna,Romania,Rio de Janeiro,Green,Tajikistan,2,Singapore,Yangtze,Japan,Atlantic,,Newfoundland,Red,Great Basin,Asia,Laos,Cyprus,China,Germany,Pakistan,Vancouver,8 billion,Luxenbourg,Vienne,Rome,South Africa,UK,Argentina,16
616765c03556775fadfc30ba,Helsinki,Poland,Spain,Senegal,UAE,Everest,Bangladesh,Indonesia,Bolivia,Malaysia,San Marino,Odesia,Vesuvius,Romania,Brasilia,Gold,Tajikistan,4,Vietnam,Amur,Japan,Pacific,South America,Newfoundland,Red,Patagonian,Africa,Thailand,New Zealand,China,Brazil,Sri Lanka,Quebec,8 billion,Andorra,Seine,Athens,South Africa,UK,Brazil,25
6308aa19f88737eb79da25c7,Copenhagen,Poland,Spain,Guinea,Turkey,Everest,Bhutan,Indonesia,Peru,Indonesia,San Marino,Melanesia,Vesuvius,Romania,Rio de Janeiro,Green,China,3,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Red,Great Basin,Africa,Thailand,Lebanon,China,Brazil,Bangladesh,Ottawa,7 billion,Andorra,Seine,Istanbul,South Africa,UK,Brazil,21
5ec0cd1d56b9d94e97a3171d,Helsinki,Croatia,Spain,Senegal,Jordan,K2,Nepal,Brazil,Uruguay,Malaysia,Monaco,Odesia,Vesuvius,Romania,Brasilia,Green,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,Australia,Germany,Bangladesh,Ottawa,8 billion,Liechtenstein,Seine,Istanbul,South Africa,UK,Brazil,23
607720d63363a7f7681aca7b,Helsinki,Serbia,Spain,Gambia,UAE,Everest,Nepal,Indonesia,Uruguay,Malaysia,US,Micronesia,Vesuvius,Romania,Brasilia,Black,Uzbekistan,2,Vietnam,Irtysh,,Atlantic,South America,Newfoundland,Blue,Great Basin,Asia,Cambodia,New Zealand,Australia,Argentina,Sri Lanka,Toronto,8 billion,Andorra,Seine,Athens,South Africa,France,Brazil,19
606a3e6bf27084173fc25015,Helsinki,Serbia,Spain,Guinea,Afghanistan,Everest,Bangladesh,India,Uruguay,Indonesia,Monaco,Melanesia,Etna,Romania,,White,China,2,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,,Lebanon,China,Germany,Bangladesh,Ottawa,7 billion,Andorra,Seine,Athens,Nigeria,UK,Brazil,22
588126f90234ec00016eff60,Oslo,Croatia,France,Zambia,UAE,Everest,Bhutan,,Ecuador,Malaysia,Iceland,Melanesia,Vesuvius,Romania,Rio de Janeiro,Gold,China,2,Vietnam,Amur,Japan,Atlantic,Asia,Hawaii,Red,Patagonian,Africa,Mongolia,New Zealand,Australia,Argentina,Sri Lanka,Vancouver,8 billion,San Marino,Seine,Rome,South Africa,UK,Brazil,15
60d4b2c2f8ec648ad7bd7a21,Oslo,Poland,Spain,Zambia,Turkey,Everest,Bangladesh,Brazil,Bolivia,Malaysia,San Marino,Melanesia,Etna,Romania,Brasilia,Gold,Russia,2,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,Australia,Argentina,Sri Lanka,Ottawa,8 billion,San Marino,Nile,Istanbul,Nigeria,USA,Brazil,23
5d25eeb8c687a10019ef1a3f,Oslo,Serbia,Spain,Guinea,Turkey,Everest,Bhutan,Kenya,Uruguay,Indonesia,Monaco,Melanesia,Vesuvius,Romania,Sao Paulo,Gold,Uzbekistan,1,Singapore,Amur,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Asia,Laos,Lebanon,China,Germany,Sri Lanka,Toronto,7 billion,Luxenbourg,Rhine,Istanbul,Nigeria,UK,Brazil,17
5c1bb52fa05a64000125c54c,Helsinki,Serbia,France,Guinea,Jordan,Everest,Nepal,India,Peru,Indonesia,Iceland,Micronesia,Vesuvius,Romania,Sao Paulo,Gold,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Great Basin,Africa,Thailand,Lebanon,Australia,Argentina,Sri Lanka,Toronto,8 billion,Luxenbourg,Rhine,Istanbul,South Africa,Canada,Brazil,19
5e9ad778a76bd8000c4a53e6,,Serbia,Spain,Guinea,UAE,Everest,Bhutan,Brazil,Uruguay,Thailand,US,Odesia,Etna,,Sao Paulo,Black,China,3,Hong Kong,Irtysh,Japan,Atlantic,Asia,Newfoundland,Red,Gobi,Africa,Thailand,Lebanon,USA,Brazil,Pakistan,Quebec,8 billion,Liechtenstein,Vienne,Athens,Egypt,UK,Brazil,16
63208518f7d9f1f68ec91185,Helsinki,Latvia,Spain,Guinea,Jordan,,Bhutan,Indonesia,Peru,Malaysia,Monaco,Odesia,Etna,Romania,Rio de Janeiro,Black,Tajikistan,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Lebanon,China,Brazil,Bangladesh,Ottawa,8 billion,Andorra,Seine,Istanbul,Egypt,UK,USA,26
5d68084b0967f600012b593e,Helsinki,Serbia,Spain,Gambia,UAE,Everest,Bangladesh,Kenya,Uruguay,Malaysia,Monaco,Micronesia,Etna,Bosnia,Sao Paulo,Black,China,2,Vietnam,Amur,Japan,Atlantic,South America,Rhode Island,Blue,Patagonian,Africa,Thailand,Cyprus,UK,Argentina,Sri Lanka,Ottawa,8 billion,Luxenbourg,Seine,Rome,Ghana,UK,Brazil,19
60d1224bb86fedf1819ef67b,Copenhagen,Poland,Spain,Zambia,Turkey,K2,Nepal,Indonesia,Bolivia,Malaysia,US,Odesia,Etna,Romania,Sao Paulo,Black,China,2,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,UK,Brazil,Sri Lanka,Quebec,7 billion,Liechtenstein,Rhine,Istanbul,Nigeria,USA,Brazil,24
633bf20f5a559097b0ff0bb3,Helsinki,Serbia,Spain,Zambia,Afghanistan,Everest,Bhutan,India,Uruguay,Malaysia,Monaco,Odesia,Etna,Romania,Brasilia,Gold,Russia,3,Vietnam,Amur,Japan,Atlantic,South America,Rhode Island,Red,Patagonian,Africa,Mongolia,Lebanon,UK,France,Sri Lanka,Vancouver,8 billion,Andorra,Seine,Istanbul,Egypt,UK,Argentina,25
5bbcf0fc6b9c97000189f6bb,Helsinki,Serbia,Spain,Guinea,Jordan,Everest,Bhutan,Brazil,Uruguay,Malaysia,Monaco,Odesia,Etna,Romania,Brasilia,Gold,Tajikistan,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,China,Brazil,Sri Lanka,Quebec,8 billion,Andorra,Seine,Athens,Nigeria,UK,Brazil,29
5aeaef0715a9c300011acf19,Stockholm,Serbia,Spain,Guinea,UAE,Everest,Nepal,India,Ecuador,Indonesia,US,Micronesia,Vesuvius,Romania,Rio de Janeiro,White,Tajikistan,1,Vietnam,Yenisei,Japan,Atlantic,Asia,Hawaii,Red,Gobi,Africa,Mongolia,Cyprus,USA,Germany,Bangladesh,Toronto,8 billion,Liechtenstein,Nile,Istanbul,Nigeria,UK,Brazil,18
5fd782d0e7c86f0aabd0c60f,Oslo,Latvia,France,Zambia,Jordan,Everest,Bhutan,Kenya,Uruguay,Indonesia,Iceland,Polynesia,Vesuvius,Romania,Rio de Janeiro,Gold,China,2,New Zealand,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Great Basin,Africa,Cambodia,Lebanon,China,France,Sri Lanka,Vancouver,8 billion,Luxenbourg,Vienne,Athens,Nigeria,UK,Brazil,17
5c5f2a7a5b87820001c4fa2d,Helsinki,Serbia,Spain,Guinea,Jordan,Everest,Bhutan,Brazil,Uruguay,Malaysia,US,Micronesia,Cheviot,Romania,Rio de Janeiro,Black,China,2,Hong Kong,Yenisei,Japan,Pacific,South America,Newfoundland,,Gobi,Africa,Thailand,New Zealand,China,Germany,Bangladesh,Quebec,8 billion,Andorra,Rhine,Istanbul,South Africa,UK,Brazil,18
616151ac0c7dd4d85b3ca749,Stockholm,Poland,Italy,Guinea,UAE,Everest,Nepal,India,Uruguay,Thailand,Monaco,Polynesia,Cheviot,Albania,Rio de Janeiro,Gold,,1,Singapore,Amur,Japan,Indian,South America,Newfoundland,Green,Kalahari,Africa,Thailand,Lebanon,China,Argentina,India,Vancouver,9 billion,San Marino,Nile,Athens,,Canada,Brazil,10
6087b470e766b01df819885d,Helsinki,Serbia,Spain,Gambia,Afghanistan,Everest,Sri Lanka,Indonesia,Peru,Thailand,Monaco,Odesia,Vesuvius,Romania,Rio de Janeiro,Black,Uzbekistan,3,Vietnam,Irtysh,Japan,Pacific,South America,Newfoundland,Red,Gobi,Africa,Cambodia,Lebanon,USA,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Athens,South Africa,UK,Brazil,24
5f491a28ad7baa4115492f4d,Helsinki,Serbia,Spain,Guinea,UAE,Everest,Nepal,Kenya,Peru,Thailand,US,Melanesia,Vesuvius,Romania,Brasilia,Green,Russia,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Yellow,Gobi,Africa,Thailand,South Africa,China,Brazil,Bangladesh,Toronto,8 billion,Liechtenstein,Seine,Athens,Nigeria,USA,Brazil,20
5fb7db844f4cdb3f5228e532,Oslo,Serbia,Spain,Gambia,Jordan,Everest,,Kenya,Peru,Malaysia,Monaco,Odesia,Vesuvius,Romania,Brasilia,Black,Tajikistan,2,Singapore,Yenisei,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Mongolia,Lebanon,China,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Rhine,Istanbul,Nigeria,UK,Brazil,29
5fa9b07feea1c41f89a467af,Helsinki,Latvia,Spain,Senegal,Afghanistan,Everest,Bhutan,India,Bolivia,Philippines,Monaco,Odesia,Etna,Romania,Brasilia,Gold,China,3,Singapore,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Lebanon,Australia,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Ghana,UK,Brazil,25
608c2e566d92c2aa3543e2d2,Helsinki,Croatia,Spain,Senegal,Jordan,Everest,Bhutan,Kenya,Peru,Philippines,Monaco,Odesia,Etna,Albania,Brasilia,Gold,Uzbekistan,2,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Mongolia,Lebanon,UK,Brazil,Sri Lanka,Toronto,8 billion,Andorra,Seine,Rome,Nigeria,UK,Brazil,23
6154c3637bd4c9657a4a6685,Helsinki,Poland,Spain,Guinea,Turkey,Everest,Sri Lanka,Kenya,Ecuador,Malaysia,Monaco,Melanesia,Vesuvius,Romania,Brasilia,Gold,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,China,Argentina,Sri Lanka,Toronto,8 billion,Andorra,Nile,Istanbul,South Africa,UK,Brazil,23
601ae161bca3983decaca14d,Helsinki,Serbia,Portugal,,Afghanistan,Everest,Bhutan,Indonesia,Bolivia,Philippines,Monaco,Odesia,Etna,Romania,Rio de Janeiro,White,China,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Lebanon,Australia,Argentina,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,25
5ede636d21cf560bf7aeb29f,Helsinki,Latvia,Spain,Senegal,Jordan,Everest,Bhutan,Brazil,Peru,Thailand,Monaco,,Etna,Romania,Brasilia,Gold,China,2,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Laos,Lebanon,China,Germany,Sri Lanka,Toronto,8 billion,San Marino,Seine,Istanbul,Nigeria,UK,Brazil,23
5ed7974d0c7518230463c6c7,Helsinki,Serbia,Spain,Senegal,Jordan,Everest,Nepal,Indonesia,Peru,Thailand,Monaco,Odesia,Vesuvius,Romania,Brasilia,Black,China,2,Vietnam,Yenisei,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Cambodia,Lebanon,UK,Brazil,Bangladesh,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,29
5d88c63e488c06001baae835,Helsinki,Serbia,Spain,Senegal,Jordan,Everest,Nepal,Brazil,Bolivia,Malaysia,Iceland,Polynesia,Etna,Romania,Sao Paulo,White,China,3,Hong Kong,Irtysh,Japan,Pacific,North America,Newfoundland,Red,Kalahari,Africa,Thailand,Lebanon,China,Brazil,Pakistan,Ottawa,8 billion,Andorra,Rhine,Athens,Egypt,France,Brazil,19
612f59e336076f7678b3b3b6,Helsinki,Latvia,Spain,Zambia,Jordan,Everest,Bhutan,Kenya,Bolivia,Philippines,Iceland,Micronesia,Cheviot,Romania,Sao Paulo,Green,Uzbekistan,2,Hong Kong,Yenisei,Japan,Pacific,South America,Newfoundland,Red,,Africa,Cambodia,Cyprus,UK,France,Bangladesh,Toronto,8 billion,Andorra,Seine,Athens,South Africa,USA,Brazil,16
5ed6c1c29e50c21348065f98,Helsinki,Croatia,Spain,Zambia,Afghanistan,Everest,Sri Lanka,Indonesia,Peru,Malaysia,Monaco,Odesia,Vesuvius,Romania,Brasilia,Green,,2,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Red,Great Basin,Africa,Thailand,New Zealand,USA,Germany,Bangladesh,Ottawa,8 billion,Andorra,Vienne,Rome,South Africa,Canada,Brazil,19
5c5460a7aea88300016157be,Helsinki,Croatia,Spain,Zambia,Jordan,Everest,Nepal,Brazil,Uruguay,Malaysia,,Odesia,Etna,Romania,Brasilia,Gold,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,,Africa,Cambodia,Cyprus,China,Brazil,Sri Lanka,Ottawa,6 billion,Andorra,Seine,Istanbul,South Africa,UK,Brazil,27
607b22e6a8966a55c437bb7c,Helsinki,Latvia,Spain,Guinea,Jordan,Everest,Nepal,Kenya,Ecuador,Indonesia,Monaco,Odesia,Vesuvius,Romania,Rio de Janeiro,Green,China,2,Vietnam,Irtysh,Japan,Pacific,South America,Newfoundland,Red,Great Basin,Africa,Laos,Cyprus,Australia,Brazil,Sri Lanka,Toronto,8 billion,Luxenbourg,Seine,Rome,Egypt,UK,Brazil,18
5e5eb4843accc91e2443212f,Helsinki,Poland,Spain,Zambia,Turkey,Everest,Bhutan,,Uruguay,Malaysia,Monaco,Melanesia,Vesuvius,Romania,Brasilia,Green,Uzbekistan,3,Hong Kong,Irtysh,Japan,,South America,Newfoundland,Red,Patagonian,Africa,Laos,Lebanon,USA,Germany,Sri Lanka,Vancouver,8 billion,Andorra,Nile,Rome,Nigeria,UK,Brazil,21
610a88b2edae8ae79810da5d,Helsinki,Serbia,Spain,Gambia,Afghanistan,Everest,Nepal,Indonesia,Bolivia,Malaysia,US,Odesia,Vesuvius,Romania,Brasilia,Green,China,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Cyprus,UK,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,27
61742bd3cd78a9f853168cef,Oslo,Serbia,Portugal,Gambia,Turkey,Everest,Nepal,Kenya,Uruguay,Malaysia,US,Odesia,Etna,Romania,Brasilia,Gold,Russia,2,Hong Kong,Amur,Japan,Atlantic,Central America,Hawaii,Red,Great Basin,South America,Mongolia,Cyprus,Australia,Brazil,India,Toronto,6 billion,Luxenbourg,Rhine,Athens,South Africa,Canada,Brazil,14
5be7a0007514d00001087731,Helsinki,Poland,Portugal,Zambia,Jordan,Everest,Sri Lanka,Indonesia,Ecuador,Malaysia,Monaco,Odesia,Etna,Romania,Brasilia,Gold,China,4,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,China,Brazil,Sri Lanka,Ottawa,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,29
61073189bb137b703f6d7b59,Helsinki,Latvia,Spain,Guinea,Jordan,Everest,Bangladesh,Kenya,Peru,Philippines,Monaco,Melanesia,Etna,Romania,Brasilia,Black,China,4,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Thailand,Cyprus,Australia,Brazil,Sri Lanka,Ottawa,8 billion,Liechtenstein,Seine,Istanbul,Nigeria,USA,Brazil,24
5e714522bac83d05b8a3e63b,Copenhagen,Croatia,France,Gambia,Turkey,Everest,Nepal,Indonesia,,Indonesia,Monaco,Odesia,Etna,Romania,Rio de Janeiro,Gold,China,3,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Blue,Gobi,Asia,Laos,South Africa,China,Brazil,Sri Lanka,Toronto,8 billion,Andorra,Seine,Istanbul,South Africa,UK,Brazil,19
5fa14beb5dd5cf0d68a832b1,Helsinki,Serbia,France,Guinea,Afghanistan,K2,Sri Lanka,Brazil,Uruguay,Malaysia,San Marino,Micronesia,Vesuvius,Romania,Brasilia,Black,Tajikistan,2,Vietnam,Irtysh,Japan,Atlantic,South America,Rhode Island,Red,Kalahari,Africa,Thailand,New Zealand,Australia,Brazil,Pakistan,Ottawa,8 billion,Liechtenstein,Seine,Kabul,Nigeria,Canada,Brazil,20
5f5aa6d5b8e6411a69e274d5,Helsinki,Latvia,Portugal,Senegal,Turkey,Everest,Nepal,Kenya,Uruguay,Malaysia,Monaco,Polynesia,Cheviot,Albania,Brasilia,Black,China,2,Hong Kong,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,USA,Brazil,Bangladesh,Ottawa,8 billion,Andorra,Nile,Athens,Ghana,UK,Brazil,21
60fd6bb20c949e6374716c83,Oslo,Croatia,Spain,Senegal,Jordan,Everest,Sri Lanka,Kenya,Ecuador,Malaysia,Iceland,Odesia,Vesuvius,Romania,Rio de Janeiro,Green,Tajikistan,3,New Zealand,Yenisei,Japan,Atlantic,South America,Newfoundland,Red,Gobi,Africa,Laos,Cyprus,China,Argentina,India,Vancouver,8 billion,Liechtenstein,Seine,Rome,Egypt,UK,Brazil,18
5efa404c2a8ed1863aa4ad36,Helsinki,Serbia,Spain,Zambia,Jordan,Everest,,Indonesia,Bolivia,Thailand,Monaco,Odesia,Vesuvius,Romania,Sao Paulo,Gold,Uzbekistan,2,Vietnam,Irtysh,Japan,Atlantic,South America,Rhode Island,Red,Patagonian,Africa,Laos,Cyprus,China,Germany,Sri Lanka,Toronto,8 billion,Andorra,Seine,,Egypt,UK,Brazil,21
