Author,Title,Publication Title,Abstract Note,Publication Year,Vignettes?,Diagnosis Scenario/Methodology Type,Confidence/Calibration Measure,Fixed Information?,Information Stages?,Information Seeking as a DV? (Binary or Continuous),Novices and Experts?,Experience as an IV/DV?,Multiple Differentials as DV?,Case Complexity?,Medical Discipline,Any IDs?,Experience Level,Experience Mix,Sample Size,Acute vs Elective,Finding Category,Notes,Finding
"Cairns, A.W.; Bond, R.R.; Finlay, D.D.; Breen, C.; Guldenring, D.; Gaffney, R.; Gallagher, A.G.; Peace, A.J.; Henn, P.",A computer-human interaction model to improve the diagnostic accuracy and clinical decision-making during 12-lead electrocardiogram interpretation,Journal of Biomedical Informatics,"Introduction The 12-lead Electrocardiogram (ECG) presents a plethora of information and demands extensive knowledge and a high cognitive workload to interpret. Whilst the ECG is an important clinical tool, it is frequently incorrectly interpreted. Even expert clinicians are known to impulsively provide a diagnosis based on their first impression and often miss co-abnormalities. Given it is widely reported that there is a lack of competency in ECG interpretation, it is imperative to optimise the interpretation process. Predominantly the ECG interpretation process remains a paper based approach and whilst computer algorithms are used to assist interpreters by providing printed computerised diagnoses, there are a lack of interactive human-computer interfaces to guide and assist the interpreter. Methods An interactive computing system was developed to guide the decision making process of a clinician when interpreting the ECG. The system decomposes the interpretation process into a series of interactive sub-tasks and encourages the clinician to systematically interpret the ECG. We have named this model ‘Interactive Progressive based Interpretation’ (IPI) as the user cannot ‘progress’ unless they complete each sub-task. Using this model, the ECG is segmented into five parts and presented over five user interfaces (1: Rhythm interpretation, 2: Interpretation of the P-wave morphology, 3: Limb lead interpretation, 4: QRS morphology interpretation with chest lead and rhythm strip presentation and 5: Final review of 12-lead ECG). The IPI model was implemented using emerging web technologies (i.e. HTML5, CSS3, AJAX, PHP and MySQL). It was hypothesised that this system would reduce the number of interpretation errors and increase diagnostic accuracy in ECG interpreters. To test this, we compared the diagnostic accuracy of clinicians when they used the standard approach (control cohort) with clinicians who interpreted the same ECGs using the IPI approach (IPI cohort). Results For the control cohort, the (mean; standard deviation; confidence interval) of the ECG interpretation accuracy was (45.45%; SD = 18.1%; CI = 42.07, 48.83). The mean ECG interpretation accuracy rate for the IPI cohort was 58.85% (SD = 42.4%; CI = 49.12, 68.58), which indicates a positive mean difference of 13.4%. (CI = 4.45, 22.35) An N _ 1 Chi-square test of independence indicated a 92% chance that the IPI cohort will have a higher accuracy rate. Interpreter self-rated confidence also increased between cohorts from a mean of 4.9/10 in the control cohort to 6.8/10 in the IPI cohort (p = 0.06). Whilst the IPI cohort had greater diagnostic accuracy, the duration of ECG interpretation was six times longer when compared to the control cohort. Conclusions We have developed a system that segments and presents the ECG across five graphical user interfaces. Results indicate that this approach improves diagnostic accuracy but with the expense of time, which is a valuable resource in medical practice. © 2016 Elsevier Inc.",2016,No,ECG interpretation,Self-rated confidence 1-10,Yes,No,No (closest is time spent on each ECG segment),Yes,Yes (GPs and undergrads),No (single),No,GPs and Undergrads,Yes (Years of experience),GPs to undergrads,Yes,31,Acute,Imaging Increasing Confidence,,Using designed interface for ECG improves accuracy but increases time spent looking at trace
"Feyzi-Behnagh, R.; Azevedo, R.; Legowski, E.; Reitmeyer, K.; Tseytlin, E.; Crowley, R. S.",Metacognitive scaffolds improve self-judgments of accuracy in a medical intelligent tutoring system,Instructional Science,"In this study, we examined the effect of two metacognitive scaffolds on the accuracy of confidence judgments made while diagnosing dermatopathology slides in SlideTutor. Thirty-one (N = 31) first- to fourth-year pathology and dermatology residents were randomly assigned to one of the two scaffolding conditions. The cases used in this study were selected from the domain of nodular and diffuse dermatitides. Both groups worked with a version of SlideTutor that provided immediate feedback on their actions for 2 h before proceeding to solve cases in either the Considering Alternatives or Playback condition. No immediate feedback was provided on actions performed by participants in the scaffolding mode. Measurements included learning gains (pre-test and post-test), as well as metacognitive performance, including Goodman–Kruskal Gamma correlation, bias, and discrimination. Results showed that participants in both conditions improved significantly in terms of their diagnostic scores from pre-test to post-test. More importantly, participants in the Considering Alternatives condition outperformed those in the Playback condition in the accuracy of their confidence judgments and the discrimination of the correctness of their assertions while solving cases. The results suggested that presenting participants with their diagnostic decision paths and highlighting correct and incorrect paths helps them to become more metacognitively accurate in their confidence judgments. © 2013, Springer Science+Business Media Dordrecht.",2014,No,Dermatoligical slides,6 point scale confidence in correct diagnosis,Yes,No,No,No,No,Yes,Yes (rated),Pathology / Dermatology,No,,No,31,,Decision Support / Cognitive Intervention,,"Asked to either consider alternatives or play back decisions (diagnostic paths), improves accuracy and calibration."
"Oskay, A.",Evaluation of thoracic computed tomography interpretation by emergency medicine residents with regards to accuracy and confidence,Pamukkale Medical Journal,"Purpose: Interpretation of thoracic computed tomography (CT) scans by emergency department (ED) physicians is important especially in crowded EDs. The aim of this study is to assess the proficiency and confidence of ED physicians with varying levels of experience in interpreting thoracic CT. Materials and methods: A total of 25 pathological and 5 normal thoracic CT images were interpreted by 32 ED residents, initially without clinical information, then with. After each session the participants were asked to score their confidence on a scale of 1 to 10. At the end of the study, the results were compared between seniors and junior residents. Results: The median age of the participants was 29 years (24-34). Twenty (62.5%) of the residents were junior residents. There were no significant differences between the two resident groups in terms of accurate diagnosis rates, regardless of the clinical information (p=0.307 and p=0.061). The physicians’ certainty of their own diagnosis mostly does not seem to be statistically different in these diagnoses. The seniors are more confident in the diagnosis of the CT scans they evaluated without clinical information (p=0.004), while when the clinical information is added, the confidence of the junior physicians also increase (p=0.087). Conclusion: Both senior and junior emergency medical residents are able to interpret thoracic CT images with a high degree of accuracy, both for COVID-19 and for other emergency diagnoses. Senior physicians were confident in their decisions regardless of whether they are accurate or not, solely by visual inspection, whereas junior residents displayed similar confidence when clinical information was available. © 2023, Pamukkale University. All rights reserved.",2023,No,30 CT scans,1-10 Confidence,Yes,No,No,Yes,Yes (GPs and undergrads),No,No (but manipulated whether clinical information was provided initially or not),Emergency Medicine,No,,Yes,32,,Confidence with Experience,,Seniors more confident without clinical information
"Mackenzie, R; Dixon, A K; Keene, G S; Hollingworth, W; Lomas, D J; Villar, R N",Magnetic resonance imaging of the knee: assessment of effectiveness.,Clinical radiology,"OBJECTIVES: To quantify how magnetic resonance imaging (MRI) influences clinicians' diagnoses, diagnostic confidence and management plans in patients with knee problems. To investigate whether these changes can bring about an improvement in health., METHODS: This was a prospective observational study on all patients referred to a regional unit for MRI of the knee over a 6-month-period. Data on diagnosis, diagnostic confidence and proposed management before MRI was compared with diagnoses and actual management after MRI. In addition, short form 36 item (SF-36) health survey data was collected at referral and again 6 months later., RESULTS: Three hundred and thirty-two patients were entered into the study. MRI led to previously unsuspected diagnosis in 69 of 269 patients with available data. When MRI confirmed the clinical diagnosis, significant improvements in clinicians' diagnostic confidence were found (P < 0.01 for medical meniscus, P < 0.05 lateral meniscus, P < 0.05 anterior cruciate). MRI led to a change in management in 180 (63%) of 288 patients (where data available). There was a significant shift away from surgical management after MRI (P < 0.01). SF-36 results were available in 206 patients. There was a significant improvement over time in five of the eight SF-36 scales (four at P < 0.001, one at P < 0.01)., CONCLUSIONS: Magnetic resonance imaging significantly influences clinicians' diagnoses and management plans. These patients, examined by MRI, also recorded an improvement in health related quality of life.",1996,No,Observation of knee MRI patients,5 point visual analogue confidence scale,No,"No, dynamic",No,No,No,Yes,No (not explicitly),Radiology,No,,No,32,,Imaging Increasing Confidence,,MRI improved confidence when confirming initial diagnosis
"Soares, W. E.; Price, L. L.; Prast, B.; Tarbox, E.; Mader, T. J.; Blanchard, R.",Accuracy screening for ST elevation myocardial infarction in a task-switching simulation,Western Journal of Emergency Medicine,"Introduction: Interruptions in the emergency department (ED) are associated with clinical errors, yet are important when providing care to multiple patients. Screening triage electrocardiograms (ECG) for ST-segment elevation myocardial infarction (STEMI) represent a critical interrupting task that emergency physicians (EP) frequently encounter. To address interruptions such as ECG interpretation, many EPs engage in task switching, pausing their primary task to address an interrupting task. The impact of task switching on clinical errors in interpreting screening ECGs for STEMI remains unknown. Methods: Resident and attending EPs were invited to participate in a crossover simulation trial. Physicians first completed a task-switching simulation in which they viewed patient presentations interrupted by clinical tasks, including screening ECGs requiring immediate interpretation before resuming the patient presentation. Participants then completed an uninterrupted simulation in which patient presentations and clinical tasks were completed sequentially without interruption. The primary outcome was accuracy of ECG interpretation for STEMI during task switching and uninterrupted simulations. Results: Thirty-five participants completed the study. We found no significant difference in accuracy of ECG interpretation for STEMI (task switching 0.89, uninterrupted 0.91, paired t-test p=0.21). Attending physician status (odds ratio [OR] [2.56], confidence interval [CI] [1.66-3.94], p<0.01) and inferior STEMI (OR [0.08], CI [0.04-0.14], p<0.01) were associated with increased and decreased odds of correct interpretation, respectively. Low self-reported confidence in interpretation was associated with decreased odds of correct interpretation in the task-switching simulation, but not in the uninterrupted simulation (interaction p=0.02). Conclusion: In our simulation, task switching was not associated with overall accuracy of ECG interpretation for STEMI. However, odds of correct interpretation decreased with inferior STEMI ECGs and when participants self-reported low confidence wh en interrupted. Our study highlights opportunities to improve through focused ECG trainin g, as well as self-identification of ""high-risk"" screening ECGs prone to error during interrupted clinical workflow. © 2019 Soares III et al.",2019,No,ECG interpretation,1-5 confidence,Yes,No,No,No,Yes? (resident and attending),No,Yes (manipulated task switching interruptions by other clinical tasks),Emergency Medicine,No,Emergency Physicians,Yes,35,,Case Complexity Factors,Contextual factors,"Lower confidence associated with decreased accuracy with interruptions, not without interruptions"
"Adderley, U. J.; Thompson, C.",Confidence and clinical judgement in community nurses managing venous leg ulceration – A judgement analysis,Journal of Tissue Viability,"Background The variation in the management of venous leg ulceration in the UK is partly attributable to an uncertain clinical environment but the quality of judgements is influenced by the how well nurses' confidence and accuracy are aligned. Objectives To assess UK community nurses' confidence in the accuracy of their diagnostic judgements and treatment choices when managing venous leg ulceration. Design Judgement Analysis. Setting UK community and primary care nursing services. Participants 18 community non-specialist nurses working in district (home) nursing teams and general practitioner services and 18 community tissue viability specialist nurses. Methods Using judgement analysis methods, 18 community non-specialist nurses and 18 community tissue viability specialist nurses made diagnoses and treatment judgements about compression therapy for 110 clinical scenarios and indicated their confidence for each judgement. An expert panel made consensus judgements for the same scenarios and these judgements were used as a standard against which to compare the participants. Confidence analysis was used to assess the nurses' confidence about their diagnostic judgements and treatment choices. Results Despite being very experienced, both non-specialist nurses' and specialist tissue viability nurses' levels of confidence were not well calibrated with their levels of accuracy. Conclusion The results of this study are important as errors resulting from both over and under-confidence at the diagnostic phase of management may influence treatment choices, and thus increase the chances of treatment error. © 2017 Tissue Viability Society",2017,Yes,110 (!) clinical scenarios,1-10 confidence in diagnosis,Yes,No,No,No,Yes (specialist vs non-specialist),No,No,Nursing,No,,Yes,36,,Calibration,,"Overall not high calibration, overconfidence in diagnosis but underconfidence in treatment decisions"
"Gupta, A. B.; Greene, M. T.; Fowler, K. E.; Chopra, V. I.","Associations Between Hospitalist Shift Busyness, Diagnostic Confidence, and Resource Utilization: A Pilot Study",Journal of Patient Safety,"Objectives Hospitalized patients are at risk for diagnostic errors. Hospitalists caring for these patients are often multitasking when overseeing patient care. We aimed to measure hospitalist workload and understand its influences on diagnostic performance in a real-world clinical setting. Methods We conducted a single-center, prospective, pilot observational study of hospitalists admitting new patients to the hospital. Hospitalists completed an abridged Mindful Attention Awareness Tool and a survey about diagnostic confidence at shift completion. Data on differential diagnoses and resource utilization (e.g., laboratory, imaging tests ordered, and consultations) were collected from the medical record. The number of admissions and paging volume per shift were used as separate proxies for shift busyness. Data were analyzed using linear mixed effects models (continuous outcomes) or mixed effects logistic regression (dichotomous outcomes). Results Of the 53 hospitalists approached, 47 (89%) agreed to participate; complete data were available for 37 unique hospitalists who admitted 160 unique patients. Increases in admissions (odds ratio, 1.99; 95% confidence interval [CI], 1.04 to 3.82; P = 0.04) and pages (odds ratio, 1.11; 95% CI, 1.02 to 1.21; P = 0.01) were associated with increased odds of hospitalists finding it ""difficult to focus on what is happening in the present.""Increased pages was associated with a decrease in the number of listed differential diagnoses (coefficient, -0.02; 95% CI, -0.04 to -0.003; P = 0.02). Conclusions Evaluation of hospitalist busyness and its associations with factors that may influence diagnosis in a real-world environment was feasible and demonstrated important implications on physician focus and differential diagnosis. © Wolters Kluwer Health, Inc. All rights reserved.",2023,No,Questionnaire during shift,1-10 Confidence,No,"No, dynamic",No,No,No,Yes,No (not explicitly),Doctors,No,,No,37,,Downstream Confidence / Patient Factors,Also contextual,"Lower confidence linked to more test orders, linked to busynesss"
"Hillson, S.D.; Connelly, D.P.; Liu, Y.",The Effects of Computer-assisted Electrocardiographic Interpretation on Physicians' Diagnostic Decisions,Medical Decision Making,"Objective. To evaluate the effect of computer-assisted interpretation of electrocardiograms (ECGs) on diagnostic decision making by primary care physicians. Design. Randomized controlled trial. Setting. Primary care physicians' outpatient clinics in or near the Minneap olis/St. Paul metropolitan area. Participants. Forty family physicians and general internists who were members of either of two large consortia of clinics. Intervention. Subjects evaluated ten clinical vignettes accompanied by ECGs and reported their diagnostic impressions. The vignettes were based on actual patient visits. Half of the subjects received ECGs with computer-generated reports, the other half received the same ECGs without reports. Main outcome measures. ECG reading time; agreement with the clinical diagnosis; agreement with the computer report; diagnostic confidence. Results. The subjects receiving the reports were more likely to agree with the clinical diagnoses of the original cases, particularly for two vignettes in which the diagnoses were uncommon and were mentioned in the reports. The subjects receiving the reports were also more likely to make diagnoses that were consistent with the reports, even when the reports were erroneous. Those receiving the reports spent, on average, 15 seconds less time looking at each ECG, a 25% decrease. Conclusions. In simulated cases, primary care physicians appear to use computer interpre tations of ECGs when available, as shown by enhanced diagnostic accuracy and modestly reduced time spent reading the tracings. However, erroneous reports may mislead physi cians. Since the effects of computerized ECG interpretation do not appear to have been uniformly favorable in this mock-clinical setting, it will be important to evaluate the effects of this technology in actual practice. Key words: computer-assisted diagnosis; computer-as sisted decision making; physician decision making; electrocardiogram. (Med Decis Making 1995;15:107-112). © 1995, Sage Publications. All rights reserved.",1995,Yes,ECG interpretation + vignettes (10),1-10 confidence in diagnosis,Yes,No,No,No,No,Yes (primary + others considered),No,Primary Care,No,,No,40,,Decision Support / Cognitive Intervention,,"When provided computer aided intepretations, participants use recommended diagnsoes more but do not singiicantly increase in confidence"
"Staal, J.; Speelman, M.; Brand, R.; Alsma, J.; Zwaan, L.",Does a suggested diagnosis in a general practitioners’ referral question impact diagnostic reasoning: an experimental study,BMC Medical Education,"Background: Diagnostic errors are a major cause of preventable patient harm. Studies suggest that presenting inaccurate diagnostic suggestions can cause errors in physicians’ diagnostic reasoning processes. It is common practice for general practitioners (GPs) to suggest a diagnosis when referring a patient to secondary care. However, it remains unclear via which underlying processes this practice can impact diagnostic performance. This study therefore examined the effect of a diagnostic suggestion in a GP’s referral letter to the emergency department on the diagnostic performance of medical interns. Methods: Medical interns diagnosed six clinical cases formatted as GP referral letters in a randomized within-subjects experiment. They diagnosed two referral letters stating a main complaint without a diagnostic suggestion (control), two stating a correct suggestion, and two stating an incorrect suggestion. The referral question and case order were randomized. We analysed the effect of the referral question on interns’ diagnostic accuracy, number of differential diagnoses, confidence, and time taken to diagnose. Results: Forty-four medical interns participated. Interns considered more diagnoses in their differential without a suggested diagnosis (M = 1.85, SD = 1.09) than with a suggested diagnosis, independent of whether this suggestion was correct (M = 1.52, SD = 0.96, d = 0.32) or incorrect ((M = 1.42, SD = 0.97, d = 0.41), _2(2) =7.6, p = 0.022). The diagnostic suggestion did not influence diagnostic accuracy (_2(2) = 1.446, p = 0.486), confidence, (_2(2) = 0.058, p = 0.971) or time to diagnose (_2(2) = 3.128, p = 0.209). Conclusions: A diagnostic suggestion in a GPs referral letter did not influence subsequent diagnostic accuracy, confidence, or time to diagnose for medical interns. However, a correct or incorrect suggestion reduced the number of diagnoses considered. It is important for healthcare providers and teachers to be aware of this phenomenon, as fostering a broad differential could support learning. Future research is necessary to examine whether these findings generalize to other healthcare workers, such as more experienced specialists or triage nurses, whose decisions might affect the diagnostic process later on. Trial registration: The study protocol was preregistered and is available online at Open Science Framework (https://osf.io/7de5g). © 2022, The Author(s).",2022,Yes,6 cases formatted as GP referral letters,0-10 confidence in diagnosis,Yes,No,No,No,No,Yes,No,Internal Medicine,No,,No,44,,Differential Information Intervention,,More differentials were considered when not provided with a suggested differential
"Harvey, C.J.; Halligan, S.; Bartram, C.I.; Hollings, N.; Sahdev, A.; Kingston, K.",Evacuation proctography: A prospective study of diagnostic and therapeutic effects,Radiology,"PURPOSE: To determine the diagnostic and therapeutic effects of evacuation proctography. MATERIALS AND METHODS: Forty-seven referring clinicians completed preevacuation proctography questionnaires for 50 patients, detailing diagnoses, confidence in these, intended management, and what they hoped to learn. After evacuation proctography, the radiology report was returned with a second questionnaire asking the diagnosis in the light of evacuation proctographic findings, their confidence, and what they had learned. Clinicians quantified management contribution and indicated how useful they found evacuation proctography in general. Results from pre- and post-evacuation proctography questionnaires were compared to determine the diagnostic and therapeutic effects. RESULTS: Diagnostic confidence rose significantly after evacuation proctography (mean, 7.0 before evacuation proctography vs 8.4 after evacuation proctography; P < .001). Lead diagnosis changed in nine (18%) patients. Intended surgical management became nonsurgical after evacuation proctography in seven (14%) patients, and intended nonsurgical therapy became surgical in two (4%). Surgery remained likely in 15 patients, but its nature changed in five (10%). Five (10%) clinicians stated that evacuation proctographic findings resolved diagnostic conflict, and nine (18%) found that evacuation proctographic findings revealed unsuspected diagnoses. Clinicians found evacuation proctography of major benefit in 20 (40%) cases studied and of moderate benefit in 20 (40%). In general, 20 (43%) clinicians found evacuation proctography very useful and 24 (51%) found it moderately useful. CONCLUSION: Evacuation proctography has a substantial diagnostic and therapeutic effect and is of considerable benefit to referring clinicians.",1999,No,Questionnaires after proctography in 50 patient cases,1-10 confidence in diagnosis,Yes,"No, dynamic",Yes (what tests were requested),No,No,No,No (not explicitly),Radiology,No,,No,47,,Imaging Increasing Confidence,,Evacuationn proctography improved diagnostic confidence and revealed new diagnoses
"Mann, Doug",The Relationship between Diagnostic Accuracy and Confidence in Medical Students.,Annual Meeting Proceedings,"Studies in psychology and clinical decision making have shown that research subjects and physicians are often overconfident in the accuracy of their judgments. In these studies, groups of 20 first-year and 27 third-year osteopathic medical students at the Ohio University College of Osteopathic Medicine (Athens) were slightly underconfident in their ability to classify artificially-generated abnormal heart rhythms, with good ""calibration"" at higher confidence levels. Evaluating individuals on ""adjusted resolution,"" which provides an index of the ability to sort correct and incorrect diagnoses into different confidence levels, reveals a curvilinear relationship between diagnostic metacognition (adjusted resolution) and accuracy. The best metacognition was found in subjects achieving 70 to 85 percent diagnostic accuracy. Implications of these findings are discussed.",1993,No,ECG slides - Classification of cardiac dysrhythmias,"11 point scale, 0-100%",Yes,No,No,No,Yes,No,No,Medical Students / Cardiac,Yes (years of medical education),,No,47,,Calibration,,"Curvilinear relationship between diagnostic metacognition (resolution) and accuracy; the best metacognition was found at 70-85% diagnostic accuracy, students generally underconfident"
"Heller, Rachael F; Saltzstein, Herbert D; Caspe, William B",Heuristics in medical and non-medical decision-making.,The Quarterly Journal of Experimental Psychology A: Human Experimental Psychology,"Presented pairs of hypothetical medical and nonmedical problems to 44 pediatric residents at 3 levels of hospital training. Each problem was designed to detect a specific heuristic-based bias in making diagnoses. A greater number of 3rd-yr Ss disregarded base-rate information than did 1st- and 2nd-yr Ss on medical but not on nonmedical problems. On medical problems, a greater number of 1st-yr Ss expressed greater confidence in redundant information that was contextually embedded than in information that was presented in a listed format. Over one-third of the Ss confused prospective and retrospective probabilities; three-fourths showed evidence of augmentation; virtually all Ss expressed greater confidence in a diagnosis based on redundant rather than on nonredundant listed information. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",1992,Yes,Medical and non medical problems,0-100% scale confidence in diagnosis,No (manipulated redundant information),No,No,Yes,Yes (three levels of training),No,No,Paediatric residents,No,,No,48,,Confidence with Experience,,Greater confidence in diagnoses across experience with more redundant information
"Dreiseitl, S.; Binder, M.",Do physicians value decision support? A look at the effect of decision support systems on physician opinion,Artificial Intelligence in Medicine,"Clinical decision support systems are on the verge of becoming routine software tools in clinical settings. We investigate the question of how physicians react when faced with decision support suggestions that contradict their own diagnoses. We used a study design involving 52 volunteer dermatologists who each rated the malignancy of 25 lesion images on an ordinal scale and gave a dichotomous excise/no excise recommendation for each lesion image. After seeing the system's rating and excise suggestions, the physicians could revise their initial recommendations. We observed that in 24% of the cases in which the physicians' diagnoses did not match those of the decision support system, the physicians changed their diagnoses. There was a slight but significant negative correlation between susceptibility to change and experience level of the physicians. Physicians were significantly less likely to follow the decision system's recommendations when they were confident of their initial diagnoses. No differences between the physicians' inclinations to following excise versus no excise recommendations could be observed. These results indicate that physicians are quite susceptible to accepting the recommendations of decision support systems, and that quality assurance and validation of such systems is therefore of paramount importance. © 2004 Elsevier B.V. All rights reserved.",2005,No,25 dermoscopic lesions,"1-10 scale of benign to malignant, with higher values interpreted as confident?",Yes,No,No,No,Yes,No,No,Dermatology,Yes (experience level),,No,52,,Confidence with Experience,,"Slight negative correlation between experience and willingess to change mind after receiving decision support, less lkely to follow system recommendations when confident"
"Tio, R. A.; Filho, M. A. C.; de Menezes Mota, M. F.; Santanchè, A.; Mamede, S.",The Effect of Information Presentation Order on Residents’ Diagnostic Accuracy of Online Simulated Patients With Chest Pain,Journal of Graduate Medical Education,"Background Physicians may receive diagnostic information in different orders, and there is a lack of empirical evidence that the order of presentation may influence clinical reasoning. Objective We investigated whether diagnostic accuracy of chest pain cases is influenced by the order of presentation of the history and electrocardiogram (EKG) to cardiology residents. Methods We conducted an experimental study during a resident training in 2019. Twelve clinical cases were presented in 2 diagnostic rounds. Residents were randomly allocated to seeing the EKG first (EKGF) or the history first (HF). The mean diagnostic accuracy scores (range 0-1) and confidence level (0-100) in each diagnostic round and time needed to make the diagnosis were evaluated. Results The final diagnostic accuracy was higher than the initial in both groups. After the first round, diagnostic accuracy was higher in HF (n=24) than in EKGF (n=28). Time taken to judge the history was comparable in both groups. Time taken to judge the EKG was shorter in HF (40±11 vs 64±13 seconds; P<.01). Time invested in the second round was significantly correlated with changing the initial diagnosis. A significant difference was observed in confidence ratings after the initial diagnosis, with EKGF reporting less confidence relative to HF. Conclusions The order in which history and EKG are presented influences the clinical reasoning process. © 2022, Accreditation Council for Graduate Medical Education. All rights reserved.",2022,Yes,12 clinical cases presented in 2 diagnostic rounds (history and EKG),0-100 confidence,Yes,Yes,No,No,No,No,No,Cardiology,No,,No,52,,Differential Information Intervention,,Accuracy and confidence higher when shown history first
"Trueblood, Jennifer S.; Eichbaum, Quentin; Seegmiller, Adam C.; Stratton, Charles; O'Daniels, Payton; Holmes, William R.",Disentangling prevalence induced biases in medical image decision-making,Cognition,"Many important real-world decision tasks involve the detection of rarely occurring targets (e.g., weapons in luggage, potentially cancerous abnormalities in radiographs). Over the past decade, it has been repeatedly demonstrated that extreme prevalence (both high and low) leads to an increase in errors. While this “prevalence effect” is well established, the cognitive and/or perceptual mechanisms responsible for it are not. One reason for this is that the most common tool for analyzing prevalence effects, Signal Detection Theory, cannot distinguish between different biases that might be present. Through an application to pathology image-based decisionmaking, we illustrate that an evidence accumulation modeling framework can be used to disentangle different types of biases. Importantly, our results show that prevalence influences both response expectancy and stimulus evaluation biases, with novices (students, N = 96) showing a more pronounced response expectancy bias and experts (medical laboratory professionals, N = 19) showing a more pronounced stimulus evaluation bias.",2021,No,Cell scans (cancer identification),,Yes,No,No,Yes,Yes,No,Yes,Medical Students / Imaging,No,,Yes,58,,Confidence with Experience,,"Novices tended toward response expectancy bias in extreme prevalence, experts with stimulus expectency bias"
"Costa Filho, G. B.; Moura, A. S.; Brandão, P. R.; Schmidt, H. G.; Mamede, S.","Effects of deliberate reflection on diagnostic accuracy, confidence and diagnostic calibration in dermatology",Perspectives on Medical Education,"Background: Deliberate reflection on initial diagnoses improved diagnostic accuracy in internal medicine and general practice, but it is unknown if the same occurs in specialties that rely mostly on visual perception, such as dermatology. Moreover, whether reflection influences diagnostic calibration has not been studied yet. Diagnostic calibration, the relationship between diagnostic accuracy and confidence in that accuracy, affects diagnostic performance because overconfidence tends to induce premature closure. This study evaluated the effects of deliberate reflection on diagnostic accuracy and diagnostic calibration in dermatology. Methods: Sixty-one sixth-year students from a Brazilian medical school were allocated to either a reflection group (RG) or a control group (CG). In both groups, students worked with the same 12 dermatological images, presented sequentially, providing an initial diagnosis and confidence in that diagnosis. Subsequently, RG students reflected on the case using a structured procedure, while CG students performed a time-filler activity. All students then provided a final diagnosis and confidence in that diagnosis. Outcome measurements were diagnostic accuracy, confidence, and calibration. Results: Reflection increased diagnostic accuracy relative to control (49.7_± 12.1 vs 38.4_± 14.6; p_= 0.002) but did not affect confidence (64.3_± 13.2 vs 58.9_± 20.1; p_=_0.228) nor calibration (0.15_± 0.16 vs 0.20_± 0.19, p_=_0.197). Overall, case difficulty influenced calibration, with students showing more overconfidence on more difficult cases (p_<0.001). Conclusions: Deliberate reflection increased diagnostic accuracy in dermatology but did not affect confidence and calibration. Calibration was worse on more difficult cases, suggesting that calibration is a knowledge-related phenomenon. © 2019, The Author(s).",2019,No,12 dermatological images,0-100% scale confidence in diagnosis,Yes,No,No,No,No,No (but asked initial and final diagnoses),Yes,Medical Students / dermatology,No,,No,61,,Decision Support / Cognitive Intervention,,"Being asked to reflect on diagnosis improved accuracy but not confidence or calibration, case difficulty affected calibration (worse for difficult("
"van Hout, H.P.J.; Vernooij-Dassen, M.J.; Stalman, W.A.B.",Diagnosing dementia with confidence by GPs,Family Practice,"Background. Earlier reports suggest limited clinical reasoning and substantial uncertainty of GPs in assessing patients suspected of dementia. Objective. To explore the predictors of GPs to decide on the presence and absence of dementia as well as the predictors of diagnostic confidence of GPs. Design. An observational study was set up among 107 patients of 64 GPs. The GPs were instructed to use the Dutch national dementia guideline on consecutive patients newly suspected of dementia and to register their assessment on a detailed form. The predictors of the presence and absence of dementia according to the GPs and their diagnostic confidence were explored by logistic regression analyses. Main outcome measures. Dependent variables: (i) presence and absence of dementia according to GPs and (ii) diagnostic confidence. Independent variables: clinical (cognitive, behavioural, somatic, functional), applications of recommendations, patient related and GP related. Results. Dementia was diagnosed in 67% of the suspected patients. The presence of dementia according to the GPs was positively associated with observed impairment of the higher cognitive functions, absence of depression and female gender of patients. The GPs expressed diagnostic confidence in 58% of the cases. This was positively associated with application of recommendations, ADL dependency, longer duration, informant availability, restless behaviour and a patient's female gender. Use of the Mini Mental Status Examination was not associated with confidence. Conclusions. GPs seem to base the diagnosis of dementia on rational grounds. Application of the dementia guideline's recommendations may contribute to more diagnostic confidence. © The Author 2007. Published by Oxford University Press. All rights reserved.",2007,No,Observation of dementia patients,4 point likert scale,Yes,"No, dynamic",No,No,No,No,No (not explicitly),General Practice,No,,No,64,,Downstream Confidence / Patient Factors,,Sensible patient factors predicted confidence
