"","OMSID","round","ParticipantID","Scenario","t1Diagnoses","t1DiagnosisScore","t1Likelihoods","t1Confidence","t1Severity","t2Diagnoses","t2Likelihoods","t2Confidence","t2Severity","t2SeniorReview","t2InvestigationsComplete","OMSScore","t2ExtraInvestigations","SCENARIO","CURRENT.SCENARIO.VERSION","SCENARIO.VERSION.PLAYED","SCORE....","TIME.SPENT","DATE","SCENARIO.ATTEMPT..","Quest.2.PIN","scenGroup","scenNum","orderNum","t1numOfDiagnoses","t2numOfDiagnoses","t1HighestLikelihood","t2HighestLikelihood","severityChange","confidenceChange","t1numOfDiagnosesChange","diagnosticChange","calibrationByDiff","sbarStart","helpStart","totalHelpStart","pewsScore","totalActions","uniqueActions","filteredActions","actionVector","actTimesVector","historyActionsVector","examsActionsVector","testingActionsVector","treatmentActionsVector","numOfHistoryActions","numOfExamActions","numOfTestingActions","numOfTreatmentActions","numOfActionsAfterHistory","numOfHistoryActionsBeforePause","numOfHistoryActionsAfterPause","numOfExamActionsBeforePause","numOfExamActionsAfterPause","percentageHistory","numOfTestingActionsBeforePause","numOfTestingActionsAfterPause","percentageTesting","numOfTreatmentActionsBeforePause","numOfTreatmentActionsAfterPause","historyVectorBeforePause","numOfActionsBeforePause","numOfActionsAfterPause","numOfDiagnosesLabel","initialConfidenceLabel","infoVal","infoValHistory","infoValExams","infoValTesting","infoValHistoryBeforePause","infoValBeforePause","infoValAfterPause","infoValAfterHistory"
"11",11,4,"B22","Pneumonia","acute asthma attack,  pneumonia, anaphylaxis, foreign body inhalation, bronchiolits",0.68,"5,5,2,2,3",8,6,"acute asthma excerbation, sepsis, pneumonia, anaphylaxis, foreign body","5,5,5,1,1",9,8,0.09,0,67,"CXR, would have liked to fully examine patient","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",67.33,"13m 49s","13/12/2023 14:24",3,"No","DP",2,3,5,5,5,5,2,1,0,3,0.744444444444444,554,693,554,4,82,59,23,"1
1
1
0
0
0
1
1
1
0
0
1
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
0
1
0
0
0
1
1
0
0
0
1
0
0
1
0
0
1
0","150
260
256
0
0
0
107
127
93
0
0
209
0
0
0
166
0
0
0
0
85
0
0
0
0
0
0
602
0
0
197
0
0
0
0
0
203
275
0
0
278
280
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
119
0
665
0
0
0
0
0
473
0
0
0
759
423
0
0
0
145
0
0
576
0
0
463
0","1
1
1
0
0
0
1
1
1
0
0
1
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
1
0
0
1
0
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0","0
1
0
0
0
1
1
0
0
0
1
0
0
1
0
0
1
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",11,6,6,2,12,10,1,5,1,0.909090909090909,1,5,0.833333333333333,0,2,"past medical history
prescribed medications
allergies
ask about pain
ask about general activity level
history of presenting complaint
vaccination history
past surgical history
presenting complaint
progress at school",21,61,"high","high",43.8657470221557,19.1930974495061,9.64487179487179,15.0277777777778,-10.08,-6.49666666666666,12.4297101449275,24.6726495726496
"12",11,5,"C11","DKA","DKA, gastroenteritis",0.62,"5,3",7,7,"DKA","5",9,8,0,0,65,"","Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]","V1.0.0.0","V1.0.0.0",64.98,"13m 53s","08/01/2024 14:47",3,"No","DP",1,2,2,1,5,5,1,2,-1,4,0.722222222222222,467,674,467,2,57,50,22,"1
1
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
0
1
1
0
1
0
1
0
1
0
0
0
0
0
1
0
0
0
0
1
0
0
1
0
0
1
0
0
1
0
1
1
1
0
1
0
0
1
0
0
0
0","104
555
0
0
740
0
181
0
0
0
0
0
0
0
0
0
0
0
0
0
82
0
0
0
0
0
0
0
0
0
0
557
0
0
0
0
0
362
0
0
0
120
501
0
612
0
820
0
110
0
0
0
0
0
238
0
0
0
0
829
0
0
525
0
0
332
0
0
173
0
595
336
737
0
403
0
0
406
0
0
0
0","1
1
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0","0
0
1
0
0
0
1
1
0
1
0
1
0
1
0
0
0
0
0
1
0
0
0
0
1
0
0
1
0","0
1
0
0
1
0
1
1
1
0
1
0
0
1
0
0
0
0","0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0",6,9,7,1,16,3,3,3,6,0.5,2,5,0.714285714285714,0,1,"past medical history
ask about pain
presenting complaint",14,43,"low","high",55.0554603055615,-6.93494116037219,35.1994636015326,26.7909378644011,-10.3041871921182,17.2169094024416,26.3687493158183,61.9904014659337
"13",11,6,"C11","Pneumonia","Pneumonia, URTI, croup, pleural effusion",0.53,"4,3,3,2",7,6,"Pneumonia, sepsis, exacerbation asthma, URTI","4,5,4,3",7,8,0.34,0,55,"Abdo exam, exposure, ENT","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",55.1,"15m 34s","14/02/2024 12:33",4,"No","DP",2,3,4,4,4,5,2,0,0,2,0.785714285714286,627,694,627,4,66,62,24,"1
1
1
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
1
1
1
1
1
1
1
0
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
1
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","440
509
511
651
0
0
0
0
93
0
0
0
0
0
0
0
0
0
0
0
88
0
0
0
0
0
0
723
0
0
0
0
0
0
0
105
197
239
0
279
247
326
363
546
537
145
0
313
323
0
0
0
0
0
0
0
0
0
0
0
393
0
0
0
552
0
422
0
0
0
410
0
0
0
161
0
0
0
0
0
0
0","1
1
1
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
1
1
1
1
1
1
1
0
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0","1
0
1
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",7,13,4,2,17,2,5,6,7,0.285714285714286,1,3,0.75,1,1,"history of presenting complaint
presenting complaint",15,51,"high","high",25.875208591307,-0.711746031746038,25.5802190340806,1.00673558897243,-10.08,-7.06636363636363,35.2253446115288,26.586954623053
"14",12,1,"A20","DKA","Diabetic Ketoacidosis, appendicitis, stomach bug",0.36,"5,2,3",3,7,"DKA, strep throat, appendicitis, stomach bug","5,2,2,2",9,7,0.25,0,46,"Full history, cardiac exam, neuro exam","Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]","V1.0.0.0","V1.0.0.0",45.75,"15m 38s","11/09/2023 16:08",1,"No","DP",1,2,3,4,5,5,0,6,1,7,0.511111111111111,463,Inf,463,2,49,46,18,"1
1
0
0
1
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
1
1
1
0
1
0
0
1
0
0
0
0","483
503
0
0
396
0
161
0
127
0
0
0
0
0
0
0
0
0
0
0
104
552
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
301
0
0
0
677
747
0
0
208
0
0
375
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
780
0
0
0
0
794
715
509
0
265
0
0
837
0
0
0
0","1
1
0
0
1
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
0
1
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
1
0
0
0
0
1
1
1
0
1
0
0
1
0
0
0
0","0
0
0
0
0
0
0
1
0
0
0
1
0
0
1
0",7,5,6,3,11,3,4,2,3,0.428571428571429,1,5,0.833333333333333,0,3,"ask about pain
history of presenting complaint
presenting complaint",11,38,"low","low",9.26125395635516,-23.8766078270389,4.09692391899288,29.0409378644011,-10.3041871921182,17.2169094024416,-6.71061576354681,33.137861783394
"15",12,3,"B4","Asthma","Acute excerbation of asthma, anaphylaxis, urti, foreign body",0.8,"4,2,5,1",6,7,"Asthma, bronchiolitis, pneumonia, anaphylaxis, viral induced wheeze","5,4,4,1,5",7,7,0.25,0,68,"take bloods, a blood gas, glucose reading","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",67.52,"16m 0s","06/11/2023 13:06",2,"No","AS",1,1,4,5,5,5,0,1,1,2,0.971428571428571,9999,Inf,9999,0,32,28,17,"1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
0
0
1
1
0
1
0
1
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","148
202
697
0
0
0
0
0
121
0
0
0
0
0
0
0
0
0
0
0
89
0
0
0
0
0
0
0
0
0
0
0
0
0
0
288
385
836
0
0
817
791
0
710
0
443
0
0
0
0
0
0
0
481
742
0
0
0
0
0
0
0
0
0
632
0
848
0
0
0
0
0
0
0
326
0
0
0
0
0
0
0","1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","1
1
1
0
0
1
1
0
1
0
1
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0","1
0
1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",5,9,3,2,12,4,1,1,8,0.8,0,3,1,0,2,"past medical history
prescribed medications
history of presenting complaint
presenting complaint",10,22,"high","low",31.6340446186523,13.3932543105219,14.3501407633761,3.89064954475437,4.2023172905526,0.169754265342519,10.1302545651692,18.2407903081304
"16",12,6,"C12","Seizure","Febrile convulsions, epilepsy, infection",0.43,"4,2,4",4,7,"Febrile seizure, epilepsy","5,1",9,6,0.35,0,48,"looked in the mouth - ent assessment","Katy, Seizure, A-E Assessment [SNP004UK]","V1.0.0.0","V1.0.0.0",47.51,"20m 5s","14/02/2024 12:02",2,"No","AS",2,4,3,2,4,5,-1,5,-1,7,0.533333333333333,850,825,825,2,62,55,24,"1
1
1
0
0
0
0
0
1
1
0
1
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
1
1
0
0
0
1
0
0
1
1
0
1
1
0
0
1
1
1
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","249
971
988
0
0
0
0
0
906
1034
0
984
0
0
0
947
958
0
0
0
896
0
0
0
0
0
0
0
0
0
0
1018
0
0
0
0
174
582
0
0
0
573
0
0
1004
141
0
475
690
0
0
512
547
450
0
0
0
928
0
0
1173
0
0
0
0
0
0
0
0
0
293
0
0
0
609
0
0
0
0
0
0
0","1
1
1
0
0
0
0
0
1
1
0
1
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0","0
1
1
0
0
0
1
0
0
1
1
0
1
1
0
0
1
1
1
0
0
0
1
0
0
1
0
0
0","0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0",10,12,2,3,14,1,9,2,10,0.1,1,1,0.5,1,2,"past medical history",11,51,"low","low",54.8217309651133,14.0344507101086,21.4539469216714,19.3333333333333,-7.08479532163742,12.2485380116959,26.7793437470682,40.7872802550047
"17",13,2,"A14","Pneumonia","Acute asthma excerbation, viral infection, sepsis, anaphylaxis",0.27,"5,3,4,1",7,9,"Sepsis, acute asthma","4,4",7,9,0.18,1,58,"","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",57.82,"18m 59s","18/10/2023 11:16",2,"No","DP",2,3,4,2,5,4,0,0,-2,2,0.828571428571429,665,Inf,665,5,63,50,22,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
1
0
1
1
1
0
0
0
0
1
0
1
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
0
0
0
1
0
0
1
0
0
1
1
0
0
0
0
1
0
1","83
266
184
0
0
0
720
0
120
0
0
0
0
0
0
0
0
0
0
0
67
0
0
0
0
0
0
0
0
0
0
777
0
0
0
205
0
320
0
346
330
296
0
0
0
0
287
0
494
0
0
0
0
0
0
0
0
676
0
731
0
0
0
0
0
0
0
243
0
0
982
0
0
377
224
0
0
0
0
387
0
799","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0","1
0
1
0
1
1
1
0
0
0
0
1
0
1
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0","0
0
0
1
0
0
1
0
0
1
1
0
0
0
0
1
0
1","1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",7,9,6,1,15,5,2,5,4,0.714285714285714,2,4,0.666666666666667,0,1,"past medical history
prescribed medications
allergies
history of presenting complaint
presenting complaint",16,47,"high","high",19.1166308202349,5.90506493506493,8.51186891547303,4.69969696969697,-10.08,-7.06636363636363,23.9188306735217,13.21156588517
"18",13,3,"B19","Asthma","pneumonia/infection, Acute asthma excerbation",0.64,"4,5",5,7,"Acute asthma excerbation, pneumonia/infection","5,2",9,7,0,1,57,"","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",57.24,"12m 7s","06/11/2023 15:21",2,"No","AS",1,1,2,2,5,5,0,4,0,4,0.633333333333333,558,Inf,558,5,47,41,11,"1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","239
0
0
0
0
0
0
0
65
0
0
0
0
0
0
0
0
0
0
596
54
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
352
155
0
0
173
162
0
0
0
0
0
0
195
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
294
0
0
0
330
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0",4,5,2,3,7,3,1,4,1,0.75,2,0,0,2,1,"past medical history
history of presenting complaint
presenting complaint",16,31,"low","low",4.65426763649683,3.62633282620908,3.35910364145658,-2.33116883116884,4.2023172905526,-5.39355742296918,10.552841781874,1.02793481028775
"19",13,5,"C13","DKA","DKA, infection",0.36,"5,4",NA,NA,"DKA","5",NA,NA,NA,NA,55,"","Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]","V1.0.0.0","V1.0.0.0",54.58,"14m 37s","08/01/2024 14:48",4,"No","DP",1,2,2,1,5,5,NA,NA,-1,NA,NA,648,822,648,2,47,44,18,"1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
1
1
0
1
0
0
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
1
0
0
1
0
0
1
0
0
0
0","498
549
539
0
0
0
0
0
358
0
0
0
0
0
0
0
0
0
0
0
102
731
0
0
0
0
0
0
0
0
0
0
0
0
0
154
0
423
274
248
0
445
0
0
0
0
0
0
321
0
0
0
0
213
0
0
0
0
0
0
0
0
0
0
0
714
0
0
762
0
0
797
0
0
171
0
0
772
0
0
0
0","1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0","1
0
1
1
1
0
1
0
0
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0","0
1
0
0
1
0
0
1
0
0
1
0
0
1
0
0
0
0","0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",6,7,5,0,12,1,5,5,2,0.166666666666667,1,4,0.8,0,0,"presenting complaint",12,35,"low",NA,14.3168569708083,-24.6345158546837,20.7981161205112,18.1532567049808,-10.3041871921182,9.67149014778325,-1.92561576354681,38.951372825492
"20",13,6,"C13","Pneumonia","Asthma exacerbation, viral induced wheeze/infection",0.18,"5,4",7,7,"Pneumonia, sepsis","5,5",7,8,0.38,1,73,"","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",72.55,"19m 50s","14/02/2024 13:08",3,"No","DP",2,3,2,2,5,5,1,0,0,1,1.04285714285714,422,443,422,4,73,65,34,"1
1
1
0
0
0
1
0
1
1
1
0
0
0
0
1
1
0
1
0
1
0
1
0
0
0
1
1
0
0
0
1
0
0
0
1
1
1
0
0
1
1
0
0
0
0
0
1
1
1
1
1
1
1
0
0
0
1
0
1
1
0
0
0
1
0
1
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","335
555
546
0
0
0
902
0
299
1072
1084
0
0
0
0
1039
877
0
1024
0
69
0
892
0
0
0
1094
538
0
0
0
1061
0
0
0
132
699
80
0
0
315
90
0
0
0
0
0
750
776
1130
819
828
860
209
0
0
0
910
0
213
1160
0
0
0
1119
0
1003
0
0
0
472
0
0
0
163
0
0
0
0
0
0
0","1
1
1
0
0
0
1
0
1
1
1
0
0
0
0
1
1
0
1
0
1
0
1
0
0
0
1
1
0
0
0
1
0
0
0","1
1
1
0
0
1
1
0
0
0
0
0
1
1
1
1
1
1
1
0
0
0
1
0
1
1
0
0
0","1
0
1
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",15,15,4,2,19,2,13,5,10,0.133333333333333,1,3,0.75,1,1,"history of presenting complaint
presenting complaint",20,53,"low","high",107.696451470636,44.6378593571816,62.0518565244824,1.00673558897243,-10.08,-7.06636363636363,57.0875512645249,63.0585921134548
"21",14,1,"A11","Asthma","Asthma excerbation, pneumonia, allergic reaction",0.56,"4,5,3",5,7,"Asthma, pneumonia, allergy","5,4,1",6,9,0.03,0,65,"Blood gas, bloods, steroids, senior","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",64.88,"15m 3s","11/09/2023 13:50",1,"No","AS",1,1,3,3,5,5,2,1,0,3,1.08333333333333,9999,884,884,5,38,31,12,"1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","221
302
321
0
0
0
0
0
178
0
0
0
0
0
0
0
0
0
0
0
164
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
427
352
0
0
578
641
0
0
0
0
0
0
632
0
0
465
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
393
0
0
0
0
0
0
0","1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0","0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0",5,6,1,3,7,5,0,0,6,1,0,1,1,0,3,"past medical history
history of presenting complaint
presenting complaint",9,29,"low","low",19.5301357297563,13.3932543105219,6.13688141923437,0,4.2023172905526,-3.06238859180034,13.3306195596518,6.13688141923437
"22",14,3,"B11","Asthma","Asthma, urti, anaphylaxis, bronchiolitis",0.62,"4,3,1,2",5,5,"Asthma, urti, bronchiolitis, anaphylaxis","5,3,1,1",6,6,0.28,1,74,"","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",73.57,"11m 44s","06/11/2023 13:49",2,"No","AS",1,1,4,4,4,5,1,1,0,2,1.23333333333333,441,538,441,4,59,54,24,"1
0
1
0
0
0
1
0
1
0
1
0
0
0
0
1
0
0
0
1
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
1
1
1
1
0
1
1
0
1
0
1
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","90
0
577
0
0
0
450
0
71
0
596
0
0
0
0
644
0
0
0
477
60
673
0
0
0
0
0
0
0
0
0
638
0
0
0
167
252
292
623
0
344
346
0
663
0
188
568
653
0
0
0
0
0
0
0
0
0
0
0
502
0
0
0
0
0
0
549
0
0
0
371
0
0
0
211
0
0
0
0
0
0
0","1
0
1
0
0
0
1
0
1
0
1
0
0
0
0
1
0
0
0
1
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0","1
1
1
1
0
1
1
0
1
0
1
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0","0
0
1
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",10,11,3,1,14,3,7,4,7,0.3,1,2,0.666666666666667,1,0,"past medical history
history of presenting complaint
presenting complaint",15,44,"high","low",34.7187518049465,18.9301856400619,16.1640699714229,-0.375503806538305,4.2023172905526,-2.16141456582632,13.144183773216,15.7885661648846
"23",14,5,"C14","Asthma","Asthma, pneumonia, LRTI, RSV bronchiolitis",0.81,"5,4,3,1",7,7,"Asthma, pneumonia","5,3",9,8,0.72,1,68,"","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",68.47,"18m 2s","08/01/2024 13:54",3,"No","AS",1,1,4,2,5,5,1,2,-2,5,0.755555555555556,787,720,720,5,58,52,20,"1
1
1
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
1
1
0
0
1
1
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
1
0
0
1
0
0
0
0
0
1
1
0
0
0
0
1
0
0","77
332
363
0
0
0
0
0
57
0
0
423
0
0
0
0
0
0
0
815
0
0
0
0
0
0
0
0
0
0
0
432
0
0
0
141
240
306
0
0
194
640
0
0
0
0
0
279
0
0
0
377
0
0
0
0
0
0
0
886
0
0
0
0
443
0
0
589
0
0
0
0
0
582
164
0
0
0
0
599
0
0","1
1
1
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0","1
1
1
0
0
1
1
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0","1
0
0
1
0
0
0
0
0
1
1
0
0
0
0
1
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",7,8,5,2,13,2,5,4,4,0.285714285714286,1,4,0.8,1,1,"past medical history
history of presenting complaint",12,46,"high","high",27.8467978884503,11.7748437979959,11.1954312027841,4.87652288767026,3.32352941176471,-0.709033613445371,18.0985648536052,16.0719540904544
"24",15,2,"A8","Seizure","Febrile convulsion, new epilepsy, viral infection",0.47,"5,3,5",5,9,"Febrile convulsions, new epilepsy, viral infection ","5,1,5",7,5,0.1,0,38,"Neuro exam, look tonsils/ENT exam, localising signs of infection","Katy, Seizure, A-E Assessment [SNP004UK]","V1.0.0.0","V1.0.0.0",37.66,"20m 3s","18/10/2023 11:01",1,"No","AS",2,4,3,3,5,5,-4,2,0,6,0.542857142857143,455,673,455,4,71,53,25,"1
0
0
0
1
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
1
1
0
0
0
1
0
0
1
0
1
1
1
0
0
0
0
0
0
1
0
1
0
0
0
1
0
1
1
0
1
0
0
1
1
0
1
1
0
1
0
0","377
0
0
0
975
0
98
0
75
0
0
0
0
0
0
0
0
0
0
0
62
0
0
0
0
0
0
0
0
0
0
1120
0
0
0
0
0
480
0
0
497
1084
0
0
0
150
0
0
286
0
868
574
767
0
0
0
0
0
0
1135
0
1170
0
0
0
841
0
950
814
0
264
0
0
937
730
0
964
900
0
955
0
0","1
0
0
0
1
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0","0
0
1
0
0
1
1
0
0
0
1
0
0
1
0
1
1
1
0
0
0
0
0
0
1
0
1
0
0","0
1
0
1
1
0
1
0
0
1
1
0
1
1
0
1
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",6,10,9,2,19,3,3,2,8,0.5,1,8,0.888888888888889,0,2,"ask about pain
history of presenting complaint
presenting complaint",12,59,"low","low",1.37064804820226,-16.4959064327485,12.5001403395366,5.36641414141416,-7.08479532163742,20.8801169590643,11.2446977558046,17.8665544809508
