participantID,trialNum,stage,stageName,trueCountry,infoRequests,information,differentials,correct,correctCountryText,correctCountryIdx
57507e67fcaa630007cb9ad2,2,1,1. Geography,MONGOLIA,3,"Area, Native Animals, Is the country landlocked?","MONGOLIA, KAZAKHSTAN",1,MONGOLIA,1
57507e67fcaa630007cb9ad2,2,2,2. Economy & Politics,MONGOLIA,2,"GDP per capita in 2022, Most Exported Food Products","MONGOLIA, KAZAKHSTAN",1,MONGOLIA,1
57507e67fcaa630007cb9ad2,2,3,3. People & Culture,MONGOLIA,1,Overall population,"MONGOLIA, KAZAKHSTAN",1,MONGOLIA,1
57507e67fcaa630007cb9ad2,3,1,1. Geography,SWITZERLAND,4,"Is the country landlocked?, Area, Number of other countries it shares a land border with, Native Animals","LUXEMBOURG, SLOVENIA, SLOVAKIA, ANDORRA",0,0,0
57507e67fcaa630007cb9ad2,3,2,2. Economy & Politics,SWITZERLAND,3,"The Economist's Democracy Index Rating, GDP per capita in 2022, Does the country have a monarchy?","LUXEMBOURG, SLOVENIA, SLOVAKIA, ANDORRA, SWITZERLAND",1,SWITZERLAND,5
57507e67fcaa630007cb9ad2,3,3,3. People & Culture,SWITZERLAND,1,Overall population,"LUXEMBOURG, SLOVENIA, SLOVAKIA, ANDORRA, SWITZERLAND",1,SWITZERLAND,5
57507e67fcaa630007cb9ad2,4,1,1. Geography,GREECE,3,"Area, Is the country landlocked?, Native Animals","TURKEY, ROMANIA, POLAND",0,0,0
57507e67fcaa630007cb9ad2,4,2,2. Economy & Politics,GREECE,2,"Is the country a member of the OECD, NATO and/or UN?, GDP per capita in 2022","TURKEY, ROMANIA, POLAND",0,0,0
57507e67fcaa630007cb9ad2,4,3,3. People & Culture,GREECE,1,Number of Colours in the country's flag,"TURKEY, ROMANIA, POLAND",0,0,0
57507e67fcaa630007cb9ad2,5,1,1. Geography,SOUTH KOREA,3,"Area, Is the country landlocked?, Native Animals","NORTH KOREA, SOUTH KOREA, PAKISTAN",1,SOUTH KOREA,2
57507e67fcaa630007cb9ad2,5,2,2. Economy & Politics,SOUTH KOREA,3,"GDP per capita in 2022, The Economist's Democracy Index Rating, Most Exported Food Products","NORTH KOREA, SOUTH KOREA, PAKISTAN",1,SOUTH KOREA,2
57507e67fcaa630007cb9ad2,5,3,3. People & Culture,SOUTH KOREA,3,"Overall population, Most Prevalent Religion, Number of Colours in the country's flag","NORTH KOREA, SOUTH KOREA, PAKISTAN",1,SOUTH KOREA,2
57507e67fcaa630007cb9ad2,6,1,1. Geography,BOTSWANA,5,"Area, Is the country landlocked?, Native Animals, Is the country landlocked?, Native Animals","CHAD, NIGER, BURKINA FASO",0,0,0
57507e67fcaa630007cb9ad2,6,2,2. Economy & Politics,BOTSWANA,3,"GDP per capita in 2022, The Economist's Democracy Index Rating, World Happiness Ranking","CHAD, NIGER, BURKINA FASO",0,0,0
57507e67fcaa630007cb9ad2,6,3,3. People & Culture,BOTSWANA,2,"Number of Colours in the country's flag, Overall population","CHAD, NIGER, BURKINA FASO",0,0,0
58ff31a1d10e2b000108579e,1,1,1. Geography,BOTSWANA,7,"Average Temperature (between 1991-2020), Is the country landlocked?, Number of other countries it shares a land border with, Time Zone (UTC), Average Rainfall in 2017 (mm per year), % area that is covered by forest, Native Animals","CHAD, CONGO, MALI, NIGER",0,0,0
58ff31a1d10e2b000108579e,1,2,2. Economy & Politics,BOTSWANA,3,"Does their government have a prime minister?, Most Exported Food Products, GDP per capita in 2022","CHAD, CONGO, MALI, NIGER",0,0,0
58ff31a1d10e2b000108579e,1,3,3. People & Culture,BOTSWANA,3,"Most Prevalent Religion, Overall population, Number of Colours in the country's flag","CHAD, CONGO, MALI, NIGER",0,0,0
58ff31a1d10e2b000108579e,2,1,1. Geography,MONGOLIA,6,"Is the country landlocked?, Time Zone (UTC), Average Temperature (between 1991-2020), Highest Point, Native Animals, Number of other countries it shares a land border with","MONGOLIA, KHAZAKSTAN, TAJIKSTAN, UZBEKISTAN",1,MONGOLIA,1
58ff31a1d10e2b000108579e,2,2,2. Economy & Politics,MONGOLIA,3,"Does their government have a prime minister?, The Economist's Democracy Index Rating, Most Exported Food Products","MONGOLIA, KHAZAKSTAN, TAJIKSTAN, UZBEKISTAN",1,MONGOLIA,1
58ff31a1d10e2b000108579e,2,3,3. People & Culture,MONGOLIA,2,"Overall population, Population Density","MONGOLIA, KHAZAKSTAN, TAJIKSTAN, UZBEKISTAN",1,MONGOLIA,1
58ff31a1d10e2b000108579e,3,1,1. Geography,SOUTH KOREA,6,"Is the country landlocked?, Number of other countries it shares a land border with, Average Temperature (between 1991-2020), Time Zone (UTC), Native Animals, % area that is covered by forest","NORTH KOREA, SOUTH KOREA, JAPAN",1,SOUTH KOREA,2
58ff31a1d10e2b000108579e,3,2,2. Economy & Politics,SOUTH KOREA,3,"Does their government have a prime minister?, GDP per capita in 2022, The Economist's Democracy Index Rating","NORTH KOREA, SOUTH KOREA, JAPAN",1,SOUTH KOREA,2
58ff31a1d10e2b000108579e,3,3,3. People & Culture,SOUTH KOREA,1,% of the population with internet access,"NORTH KOREA, SOUTH KOREA, JAPAN",1,SOUTH KOREA,2
58ff31a1d10e2b000108579e,4,1,1. Geography,COLOMBIA,6,"Is the country landlocked?, Number of other countries it shares a land border with, Average Temperature (between 1991-2020), Average Rainfall in 2017 (mm per year), Area, Native Animals","BRAZIL, ARGENTINA, BELIZE",0,0,0
58ff31a1d10e2b000108579e,4,2,2. Economy & Politics,COLOMBIA,2,"Does their government have a prime minister?, The Economist's Democracy Index Rating","BRAZIL, ARGENTINA, BELIZE",0,0,0
58ff31a1d10e2b000108579e,4,3,3. People & Culture,COLOMBIA,3,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Overall population, Population in the capital city","BRAZIL, ARGENTINA, BELIZE",0,0,0
58ff31a1d10e2b000108579e,5,1,1. Geography,GREECE,5,"Is the country landlocked?, Time Zone (UTC), Number of other countries it shares a land border with, Average Temperature (between 1991-2020), Area","BELGIUM, NETHERLANDS, GERMANY, POLAND",0,0,0
58ff31a1d10e2b000108579e,5,2,2. Economy & Politics,GREECE,4,"Is the country a member of the OECD, NATO and/or UN?, Does the country have a monarchy?, Does their government have a prime minister?, GDP per capita in 2022","BELGIUM, NETHERLANDS, GERMANY, POLAND",0,0,0
58ff31a1d10e2b000108579e,5,3,3. People & Culture,GREECE,3,"Number of Colours in the country's flag, Number of FIFA World Cups that the country's team qualified for, and their best performance, Overall population",POLAND,0,0,0
58ff31a1d10e2b000108579e,6,1,1. Geography,SWITZERLAND,6,"Is the country landlocked?, Time Zone (UTC), Number of other countries it shares a land border with, Highest Point, Average Temperature (between 1991-2020), Native Animals","SWITZERLAND, LIECHTENSTEIN, AUSTRIA",1,SWITZERLAND,1
58ff31a1d10e2b000108579e,6,2,2. Economy & Politics,SWITZERLAND,3,"Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products, GDP per capita in 2022","SWITZERLAND, LIECHTENSTEIN, AUSTRIA",1,SWITZERLAND,1
58ff31a1d10e2b000108579e,6,3,3. People & Culture,SWITZERLAND,3,"Population Density, Overall population, Number of Colours in the country's flag",SWITZERLAND,1,SWITZERLAND,1
590819e205fbfc000147720c,1,1,1. Geography,SOUTH KOREA,13,"Is the country landlocked?, Highest Point, % area that is covered by forest, % area that is covered by forest, Native Animals, Native Animals, Area, % area that is water, Time Zone (UTC), % area that is water, Number of other countries it shares a land border with, Native Animals, % area that is water","SOUTH KOREA, SINGAPORE",1,SOUTH KOREA,1
590819e205fbfc000147720c,1,2,2. Economy & Politics,SOUTH KOREA,8,"Gini Index for Income Inequality, The Economist's Democracy Index Rating, Does the country have a monarchy?, GDP per capita in 2022, Does their government have a prime minister?, World Happiness Ranking, Most Exported Food Products, Global Passport Power Rank (2022)","SOUTH KOREA, SINGAPORE",1,SOUTH KOREA,1
590819e205fbfc000147720c,1,3,3. People & Culture,SOUTH KOREA,9,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of FIFA World Cups that the country's team qualified for, and their best performance, Population in the capital city, Population Density, Number of medals at the Tokyo Olympics, Unemployment Rate % (2021), % of the population with internet access, Number of Colours in the country's flag, Overall population","SOUTH KOREA, SINGAPORE",1,SOUTH KOREA,1
590819e205fbfc000147720c,2,1,1. Geography,GREECE,8,"Native Animals, Is the country landlocked?, % area that is covered by forest, Highest Point, Time Zone (UTC), Number of other countries it shares a land border with, Average Temperature (between 1991-2020), Area","TURKEY, GERMANY, GREECE, ROMANIA, UKRAINE, CZECHIA",1,GREECE,3
590819e205fbfc000147720c,2,2,2. Economy & Politics,GREECE,8,"World Happiness Ranking, Does their government have a prime minister?, Does the country have a monarchy?, Most Exported Food Products, GDP per capita in 2022, The Economist's Democracy Index Rating, Is the country a member of the OECD, NATO and/or UN?, Gini Index for Income Inequality","TURKEY, GERMANY, GREECE, ROMANIA, UKRAINE, CZECHIA, ITALY",1,GREECE,3
590819e205fbfc000147720c,2,3,3. People & Culture,GREECE,13,"Population Density, Population Density, Overall population, Number of Colours in the country's flag, Number of medals at the Tokyo Olympics, Which side of the road do people drive on?, % of the population with internet access, Most Prevalent Religion, Population in the capital city, Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of FIFA World Cups that the country's team qualified for, and their best performance, Unemployment Rate % (2021), Population in the capital city","TURKEY, GERMANY, GREECE, ROMANIA, UKRAINE, CZECHIA, ITALY, MOLDOVA, SERBIA, BELARUS, SLOVAKIA",1,GREECE,3
590819e205fbfc000147720c,3,1,1. Geography,SWITZERLAND,7,"Average Temperature (between 1991-2020), Native Animals, Is the country landlocked?, % area that is water, % area that is covered by forest, Number of other countries it shares a land border with, Area","CZECHIA, SLOVAKIA, BELARUS",0,0,0
590819e205fbfc000147720c,3,2,2. Economy & Politics,SWITZERLAND,6,"Does their government have a prime minister?, The Economist's Democracy Index Rating, World Happiness Ranking, Most Exported Food Products, GDP per capita in 2022, Is the country a member of the OECD, NATO and/or UN?","CZECHIA, SLOVAKIA, BELARUS, SWITZERLAND",1,SWITZERLAND,4
590819e205fbfc000147720c,3,3,3. People & Culture,SWITZERLAND,6,"Which side of the road do people drive on?, Population in the capital city, Most Prevalent Religion, % of the population with internet access, Overall population, Number of Colours in the country's flag","CZECHIA, SLOVAKIA, BELARUS, SWITZERLAND",1,SWITZERLAND,4
590819e205fbfc000147720c,4,1,1. Geography,BOTSWANA,8,"% area that is water, Highest Point, Is the country landlocked?, Native Animals, Number of other countries it shares a land border with, Area, % area that is covered by forest, Time Zone (UTC)","TANZANIA, RWANDA, CENTRAL AFRICAN REPUBLIC, SOUTH SUDAN",0,0,0
590819e205fbfc000147720c,4,2,2. Economy & Politics,BOTSWANA,6,"Does their government have a prime minister?, The Economist's Democracy Index Rating, Does the country have a monarchy?, Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products, World Happiness Ranking","TANZANIA, RWANDA, CENTRAL AFRICAN REPUBLIC, SOUTH SUDAN, CHAD, ZIMBABWE, ZAIRE",0,0,0
590819e205fbfc000147720c,4,3,3. People & Culture,BOTSWANA,17,"% area that is covered by forest, % area that is covered by forest, Highest Point, Is the country landlocked?, Number of other countries it shares a land border with, Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of medals at the Tokyo Olympics, Population in the capital city, Number of Colours in the country's flag, Overall population, Population Density, % of the population with internet access, Unemployment Rate % (2021), Most Prevalent Religion, Overall population, Number of Colours in the country's flag, Area","TANZANIA, RWANDA, CENTRAL AFRICAN REPUBLIC, SOUTH SUDAN, CHAD, ZIMBABWE, ZAIRE, LESOTHO",0,0,0
590819e205fbfc000147720c,5,1,1. Geography,MONGOLIA,10,"Time Zone (UTC), % area that is water, % area that is covered by forest, Area, Native Animals, Is the country landlocked?, Highest Point, Number of other countries it shares a land border with, Average Temperature (between 1991-2020), Area","KAZAKHSTAN, TURKMENISTAN, AZERBAIJAN, MONGOLIA, KYRGISTAN, NEPAL, NORTH KOREA",1,MONGOLIA,4
590819e205fbfc000147720c,5,2,2. Economy & Politics,MONGOLIA,7,"Is the country a member of the OECD, NATO and/or UN?, Does their government have a prime minister?, Does the country have a monarchy?, GDP per capita in 2022, Most Exported Food Products, The Economist's Democracy Index Rating, World Happiness Ranking","KAZAKHSTAN, TURKMENISTAN, AZERBAIJAN, MONGOLIA, KYRGISTAN, NEPAL, NORTH KOREA",1,MONGOLIA,4
590819e205fbfc000147720c,5,3,3. People & Culture,MONGOLIA,26,"Is the country landlocked?, % area that is covered by forest, Highest Point, Highest Point, Highest Point, Number of other countries it shares a land border with, Is the country landlocked?, Number of other countries it shares a land border with, Time Zone (UTC), Population Density, Number of Colours in the country's flag, Population in the capital city, Number of medals at the Tokyo Olympics, Overall population, Most Prevalent Religion, Overall population, % of the population with internet access, Overall population, Number of Colours in the country's flag, Population in the capital city, Overall population, Number of Colours in the country's flag, Area, Average Temperature (between 1991-2020), Overall population, Population in the capital city","KAZAKHSTAN, TURKMENISTAN, AZERBAIJAN, MONGOLIA, KYRGISTAN, NEPAL, NORTH KOREA",1,MONGOLIA,4
590819e205fbfc000147720c,6,1,1. Geography,COLOMBIA,10,"Number of other countries it shares a land border with, Highest Point, Average Temperature (between 1991-2020), Native Animals, % area that is water, Area, Time Zone (UTC), % area that is covered by forest, Is the country landlocked?, Average Rainfall in 2017 (mm per year)","ARGENTINA, CHILE, PERU, BOLIVIA, COLOMBIA, PARAGUAY",0,COLOMBIA,5
590819e205fbfc000147720c,6,2,2. Economy & Politics,COLOMBIA,12,"Does their government have a prime minister?, Most Exported Food Products, The Economist's Democracy Index Rating, GDP per capita in 2022, Does the country have a monarchy?, Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products, Gini Index for Income Inequality, Is the country landlocked?, Number of other countries it shares a land border with, Area, Native Animals","ARGENTINA, CHILE, PERU, BOLIVIA, COLOMBIA, PARAGUAY, VENEZUELA",0,COLOMBIA,5
590819e205fbfc000147720c,6,3,3. People & Culture,COLOMBIA,9,"% of the population with internet access, Most Prevalent Religion, Number of Colours in the country's flag, Number of medals at the Tokyo Olympics, Population Density, Population in the capital city, Number of FIFA World Cups that the country's team qualified for, and their best performance, Overall population, Number of other countries it shares a land border with","ARGENTINA, CHILE, PERU, BOLIVIA, COLOMBIA, PARAGUAY, VENEZUELA",0,COLOMBIA,5
59102d52f601090001e80b82,1,1,1. Geography,SWITZERLAND,3,"Is the country landlocked?, Number of other countries it shares a land border with, Area",LUXEMBOURG,0,0,0
59102d52f601090001e80b82,1,2,2. Economy & Politics,SWITZERLAND,5,"Does the country have a monarchy?, Does their government have a prime minister?, World Happiness Ranking, The Economist's Democracy Index Rating, Most Exported Food Products",LUXEMBOURG,0,0,0
59102d52f601090001e80b82,1,3,3. People & Culture,SWITZERLAND,5,"Population Density, % of the population with internet access, Overall population, Which side of the road do people drive on?, Most Prevalent Religion",LUXEMBOURG,0,0,0
59102d52f601090001e80b82,2,1,1. Geography,GREECE,4,"Is the country landlocked?, Number of other countries it shares a land border with, % area that is water, Native Animals","POLAND, GERMANY",0,0,0
59102d52f601090001e80b82,2,2,2. Economy & Politics,GREECE,4,"Most Exported Food Products, The Economist's Democracy Index Rating, Most Exported Food Products, Does their government have a prime minister?","POLAND, GERMANY, FRANCE",0,0,0
59102d52f601090001e80b82,2,3,3. People & Culture,GREECE,5,"Most Prevalent Religion, Overall population, Number of Colours in the country's flag, Which side of the road do people drive on?, % of the population with internet access","POLAND, GERMANY, FRANCE",0,0,0
59102d52f601090001e80b82,3,1,1. Geography,COLOMBIA,4,"Number of other countries it shares a land border with, % area that is covered by forest, Is the country landlocked?, Native Animals","BRAZIL, ARGENTINA",0,0,0
59102d52f601090001e80b82,3,2,2. Economy & Politics,COLOMBIA,5,"The Economist's Democracy Index Rating, Is the country a member of the OECD, NATO and/or UN?, World Happiness Ranking, Gini Index for Income Inequality, Most Exported Food Products","BRAZIL, ARGENTINA",0,0,0
59102d52f601090001e80b82,3,3,3. People & Culture,COLOMBIA,4,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of Colours in the country's flag, Most Prevalent Religion, Population in the capital city","BRAZIL, ARGENTINA",0,0,0
59102d52f601090001e80b82,4,1,1. Geography,SOUTH KOREA,2,"Is the country landlocked?, Number of other countries it shares a land border with",SOUTH KOREA,1,SOUTH KOREA,1
59102d52f601090001e80b82,4,2,2. Economy & Politics,SOUTH KOREA,3,"The Economist's Democracy Index Rating, World Happiness Ranking, Most Exported Food Products",SOUTH KOREA,1,SOUTH KOREA,1
59102d52f601090001e80b82,4,3,3. People & Culture,SOUTH KOREA,4,"Most Prevalent Religion, Number of medals at the Tokyo Olympics, Number of Colours in the country's flag, Which side of the road do people drive on?",SOUTH KOREA,1,SOUTH KOREA,1
59102d52f601090001e80b82,5,1,1. Geography,BOTSWANA,3,"Is the country landlocked?, Native Animals, Number of other countries it shares a land border with","GHANA, JOHANNESBURG",0,0,0
59102d52f601090001e80b82,5,2,2. Economy & Politics,BOTSWANA,4,"Most Exported Food Products, The Economist's Democracy Index Rating, Is the country a member of the OECD, NATO and/or UN?, The Economist's Democracy Index Rating","GHANA, JOHANNESBURG",0,0,0
59102d52f601090001e80b82,5,3,3. People & Culture,BOTSWANA,4,"Most Prevalent Religion, Number of Colours in the country's flag, % of the population with internet access, Population Density","GHANA, JOHANNESBURG",0,0,0
59102d52f601090001e80b82,6,1,1. Geography,MONGOLIA,3,"Is the country landlocked?, Native Animals, Number of other countries it shares a land border with","KYRGYZSTAN, UZBEKISTAN",0,0,0
59102d52f601090001e80b82,6,2,2. Economy & Politics,MONGOLIA,3,"The Economist's Democracy Index Rating, World Happiness Ranking, Most Exported Food Products","KYRGYZSTAN, UZBEKISTAN",0,0,0
59102d52f601090001e80b82,6,3,3. People & Culture,MONGOLIA,3,"Most Prevalent Religion, Number of FIFA World Cups that the country's team qualified for, and their best performance, % of the population with internet access","KYRGYZSTAN, UZBEKISTAN",0,0,0
59b73df56039190001eaa9e7,1,1,1. Geography,SWITZERLAND,9,"Number of other countries it shares a land border with, Native Animals, Is the country landlocked?, Time Zone (UTC), Number of other countries it shares a land border with, % area that is covered by forest, Area, % area that is water, Area","SLOVAKIA, ESTONIA, CZECHIA",0,0,0
59b73df56039190001eaa9e7,1,2,2. Economy & Politics,SWITZERLAND,6,"Is the country a member of the OECD, NATO and/or UN?, Does the country have a monarchy?, Most Exported Food Products, Does their government have a prime minister?, The Economist's Democracy Index Rating, Global Passport Power Rank (2022)","SLOVAKIA, ESTONIA, CZECHIA",0,0,0
59b73df56039190001eaa9e7,1,3,3. People & Culture,SWITZERLAND,5,"Number of Colours in the country's flag, Most Prevalent Religion, Overall population, Population in the capital city, Number of FIFA World Cups that the country's team qualified for, and their best performance","SLOVAKIA, ESTONIA, CZECHIA",0,0,0
59b73df56039190001eaa9e7,2,1,1. Geography,SOUTH KOREA,8,"Is the country landlocked?, Native Animals, Number of other countries it shares a land border with, Area, Is the country landlocked?, Time Zone (UTC), Native Animals, Number of other countries it shares a land border with","CAMBODIA, VIETNAM",0,0,0
59b73df56039190001eaa9e7,2,2,2. Economy & Politics,SOUTH KOREA,8,"Does their government have a prime minister?, Does the country have a monarchy?, Most Exported Food Products, Global Passport Power Rank (2022), GDP per capita in 2022, The Economist's Democracy Index Rating, Gini Index for Income Inequality, World Happiness Ranking","CAMBODIA, VIETNAM",0,0,0
59b73df56039190001eaa9e7,2,3,3. People & Culture,SOUTH KOREA,6,"Most Prevalent Religion, Number of Colours in the country's flag, Which side of the road do people drive on?, Overall population, Population in the capital city, Number of Colours in the country's flag","CAMBODIA, VIETNAM, MYANMAR",0,0,0
59b73df56039190001eaa9e7,3,1,1. Geography,BOTSWANA,6,"Is the country landlocked?, Native Animals, Area, Number of other countries it shares a land border with, Time Zone (UTC), % area that is water","KENYA, ETHIOPIA",0,0,0
59b73df56039190001eaa9e7,3,2,2. Economy & Politics,BOTSWANA,5,"Does their government have a prime minister?, Does the country have a monarchy?, Most Exported Food Products, GDP per capita in 2022, Global Passport Power Rank (2022)","KENYA, ETHIOPIA",0,0,0
59b73df56039190001eaa9e7,3,3,3. People & Culture,BOTSWANA,6,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Population in the capital city, Overall population, Which side of the road do people drive on?, Number of Colours in the country's flag, Most Prevalent Religion","KENYA, ETHIOPIA, ZIMBABWE",0,0,0
59b73df56039190001eaa9e7,4,1,1. Geography,MONGOLIA,5,"Number of other countries it shares a land border with, Time Zone (UTC), Area, Is the country landlocked?, Native Animals","MONGOLIA, KAZAKHSTAN",1,MONGOLIA,1
59b73df56039190001eaa9e7,4,2,2. Economy & Politics,MONGOLIA,7,"Most Exported Food Products, Most Exported Food Products, Does the country have a monarchy?, Does their government have a prime minister?, Is the country a member of the OECD, NATO and/or UN?, GDP per capita in 2022, Global Passport Power Rank (2022)","MONGOLIA, KAZAKHSTAN",1,MONGOLIA,1
59b73df56039190001eaa9e7,4,3,3. People & Culture,MONGOLIA,3,"Most Prevalent Religion, Overall population, Number of Colours in the country's flag","MONGOLIA, KAZAKHSTAN",1,MONGOLIA,1
59b73df56039190001eaa9e7,5,1,1. Geography,GREECE,8,"Is the country landlocked?, Native Animals, % area that is water, Number of other countries it shares a land border with, Area, % area that is covered by forest, Is the country landlocked?, Native Animals","GREECE, ALBANIA, CROATIA",1,GREECE,1
59b73df56039190001eaa9e7,5,2,2. Economy & Politics,GREECE,3,"Does the country have a monarchy?, Does their government have a prime minister?, Most Exported Food Products","GREECE, ALBANIA, CROATIA",1,GREECE,1
59b73df56039190001eaa9e7,5,3,3. People & Culture,GREECE,5,"Overall population, Which side of the road do people drive on?, Number of Colours in the country's flag, Population in the capital city, Most Prevalent Religion","GREECE, ALBANIA, CROATIA",1,GREECE,1
59b73df56039190001eaa9e7,6,1,1. Geography,COLOMBIA,6,"Is the country landlocked?, Native Animals, Area, % area that is covered by forest, Number of other countries it shares a land border with, Average Temperature (between 1991-2020)","PERU, COLOMBIA",1,COLOMBIA,2
59b73df56039190001eaa9e7,6,2,2. Economy & Politics,COLOMBIA,5,"Does the country have a monarchy?, Does their government have a prime minister?, Global Passport Power Rank (2022), Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products","PERU, COLOMBIA",1,COLOMBIA,2
59b73df56039190001eaa9e7,6,3,3. People & Culture,COLOMBIA,4,"Overall population, Most Prevalent Religion, Population in the capital city, Number of Colours in the country's flag","PERU, COLOMBIA",1,COLOMBIA,2
59bd5ee0b7a3f000017d5c60,1,1,1. Geography,GREECE,3,"Native Animals, % area that is covered by forest, Is the country landlocked?",ITALY,0,0,0
59bd5ee0b7a3f000017d5c60,1,2,2. Economy & Politics,GREECE,4,"Most Exported Food Products, Is the country a member of the OECD, NATO and/or UN?, Does the country have a monarchy?, Does their government have a prime minister?",ITALY,0,0,0
59bd5ee0b7a3f000017d5c60,1,3,3. People & Culture,GREECE,4,"Which side of the road do people drive on?, Population in the capital city, Number of FIFA World Cups that the country's team qualified for, and their best performance, Most Prevalent Religion","ITALY, FRANCE, UNKRAINE",0,0,0
59bd5ee0b7a3f000017d5c60,2,1,1. Geography,MONGOLIA,2,"Native Animals, Is the country landlocked?",MONGOLIA,1,MONGOLIA,1
59bd5ee0b7a3f000017d5c60,2,2,2. Economy & Politics,MONGOLIA,3,"GDP per capita in 2022, Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products",MONGOLIA,1,MONGOLIA,1
59bd5ee0b7a3f000017d5c60,2,3,3. People & Culture,MONGOLIA,1,Most Prevalent Religion,MONGOLIA,1,MONGOLIA,1
