participantID,trialNum,stage,stageName,trueCondition,requestedTests,likelihoodChange,uniqueTests,pastTests,currentTests,possibleTest,proportionOfInfo,testNames,numOfDifferentials,confidence,perceivedDifficulty,highestSeverity,highestLikelihood,likelihoods,severities,sevOfHighestLikelihood,treatmentPlan,differentials,correct,correctDiagnosisText,correctDiagnosisIdx,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
1p7vnf,2,2,Physical Exmination,AORTIC DISSECTION,17,0,15,6,9,13,0.692307692,"Present Illness History, Medication, Past Medical History, Family History, Allergies, Social History, Measure Blood Pressure, Take Pulse, Auscultate the Heart, Assess Respiratory Rate, Auscultate Lungs, Measure Temperature, Abdomen Examination, Assess Extremities, Rectal Examination",8,0.29,8,3,4,"2, 2, 3, 3, 4, 3, 3, 3","2, 1, 1, 2, 2, 3, 1, 3",2,Not Provided,"PULMONARY EMBOLISM, PNEUMONIA, TUBERCULOSIS, AORTIC STENOSIS, HOCM, AORTIC DISSECTION, COARCTATION OF THE AORTA, AORTIC ANEURYSM, HAEMOCHROMATOSIS, LOWER UTI",1,AORTIC DISSECTION,6,4,HOCM,0
1p7vnf,2,3,Testing,AORTIC DISSECTION,18,0,12,2,10,10,1,"Venous Blood Gas, FBC, Urine Dipstick, Other Biochemistry Tests, ECG, Abdominal CT Scan, CRP and ESR, Chest X-Ray, Neck/Throat Examination, Assess Eyes, Clotting Test, UREA and Electrolytes",10,0.3,8,3,6,"1, 1, 3, 2, 4, 2, 1, 3, 2, 6","2, 1, 1, 2, 2, 3, 1, 3, 1, 0",0,Not Provided,"PULMONARY EMBOLISM, PNEUMONIA, TUBERCULOSIS, AORTIC STENOSIS, HOCM, AORTIC DISSECTION, COARCTATION OF THE AORTA, AORTIC ANEURYSM, HAEMOCHROMATOSIS, LOWER UTI",1,AORTIC DISSECTION,6,6,LOWER UTI,0
1p7vnf,3,1,Patient History,ULCERATIVE COLITIS,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Social History, Family History, Allergies",5,0.3,8,3,4,"4, 3, 2, 2, 2","0, 2, 0, 3, 2",0,Not Provided,"DIVERTICULITIS, BOWEL CANCER, INFECTIVE GASTROENTERITIS, MESENTERIC ISCHEMIC, ISCHEMIC COLITIS",1,DIVERTICULITIS,1,4,DIVERTICULITIS,1
1p7vnf,3,2,Physical Exmination,ULCERATIVE COLITIS,11,0,10,0,10,13,0.769230769,"Abdomen Examination, Auscultate the Heart, Measure Temperature, Rectal Examination, Measure Blood Pressure, Take Pulse, Assess Eyes, Neck/Throat Examination, Assess Extremities, Auscultate Lungs",3,0.55,8,2,5,"5, 3, 2","0, 2, 0",0,Not Provided,"DIVERTICULITIS, BOWEL CANCER, INFECTIVE COLITIS , INFLAMMATORY BOWEL DISEASE",1,DIVERTICULITIS,1,5,DIVERTICULITIS,1
1p7vnf,3,3,Testing,ULCERATIVE COLITIS,14,0,12,4,8,10,0.8,"Abdominal CT Scan, CRP and ESR, Venous Blood Gas, UREA and Electrolytes, ECG, FBC, Chest X-Ray, Other Biochemistry Tests, Past Medical History, Medication, Present Illness History, Abdomen Examination",4,0.57,8,2,5,"5, 2, 3, 3","1, 2, 0, 1",1,Not Provided,"DIVERTICULITIS, BOWEL CANCER, INFECTIVE COLITIS, INFLAMMATORY BOWEL DISEASE",1,DIVERTICULITIS,1,5,DIVERTICULITIS,1
1p7vnf,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,6,0,6,6,1,"Present Illness History, Social History, Past Medical History, Family History, Allergies, Medication",3,0.77,8,3,8,"8, 1, 1","3, 3, 3",3,Not Provided,"ENCEPHALITIS, STROKE, MENINGITIS",0,0,0,8,ENCEPHALITIS,0
1p7vnf,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,9,0,9,0,9,13,0.692307692,"Measure Temperature, Neurologic Exam Record, Assess Head, Assess Eyes, Take Pulse, Neck/Throat Examination, Assess Extremities, Auscultate the Heart, Abdomen Examination",3,0.57,8,3,8,"8, 1, 1","3, 3, 3",3,Not Provided,"ENCEPHALITIS, TTP",0,0,0,8,ENCEPHALITIS,0
1p7vnf,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,8,0,5,1,4,10,0.4,"Neurologic Exam Record, FBC, Other Biochemistry Tests, Venous Blood Gas, UREA and Electrolytes",2,0.7,8,3,8,"3, 8","3, 3",3,"Test ADAMTS13 levels to diagnose TTP. CT head to rule out intracranial bleed. MRI head to check for limbic encephalitis. Lumbar puncture to exclude meningoencephalitis. 
Cover for meningoencephalitis with IV antiviral and antibiotics until ruled out. Give IV steroids to treat TTP. Plasma exchange if not improving.","ENCEPHALITIS, TTP",1,TTP,2,8,TTP,1
1p7vnf,5,1,Patient History,MILIARY TB,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Allergies, Social History, Family History",1,0.59,6,2,8,8,2,2,Not Provided,"AML, NEUTROPENIC SEPSIS",0,0,0,8,AML,0
1p7vnf,5,2,Physical Exmination,MILIARY TB,9,0,9,0,9,13,0.692307692,"Abdomen Examination, Rectal Examination, Measure Temperature, Neck/Throat Examination, Assess Extremities, Assess Eyes, Neurologic Exam Record, Auscultate Lungs, Auscultate the Heart",2,0.72,6,3,6,"6, 5","2, 3",2,Not Provided,"AML, NEUTROPENIC SEPSIS",0,0,0,6,AML,0
1p7vnf,5,3,Testing,MILIARY TB,5,0,4,0,4,10,0.4,"FBC, Chest X-Ray, Abdominal CT Scan, Other Biochemistry Tests",2,0.78,6,3,6,"6, 5","2, 3",2,"Marrow biopsy to diagnose AML. Blood film to look for blasts.
Neutrophil function tests.

Broad spectrum IV antibiotics for ?empyema/sepsis.

Refer to haematology.","AML, NEUTROPENIC SEPSIS",0,0,0,6,AML,0
1p7vnf,6,1,Patient History,TEMPORAL ARTERITIS,8,0,6,0,6,6,1,"Present Illness History, Past Medical History, Family History, Medication, Social History, Allergies",5,0.31,6,2,4,"4, 4, 1, 1, 1","1, 0, 0, 2, 1",1,Not Provided,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS, ADULT ONSET STILL'S DISEASE, RHEUMATIC FEVER, SYSTEMIC SCLEROSIS",1,RHEUMATOID ARTHRITIS,1,4,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS",1
1p7vnf,6,2,Physical Exmination,TEMPORAL ARTERITIS,9,0,8,1,7,13,0.538461538,"Assess Extremities, Present Illness History, Neck/Throat Examination, Auscultate Lungs, Neurologic Exam Record, Measure Blood Pressure, Abdomen Examination, Measure Temperature",5,0.39,6,2,5,"4, 5, 1, 2, 1","1, 0, 0, 2, 1",0,Not Provided,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS, ADULT ONSET STILL'S DISEASE, RHEUMATIC FEVER, SYSTEMIC SCLEROSIS",1,RHEUMATOID ARTHRITIS,1,5,REACTIVE ARTHRITIS,0
1p7vnf,6,3,Testing,TEMPORAL ARTERITIS,5,0,5,0,5,10,0.5,"FBC, Chest X-Ray, Other Biochemistry Tests, CRP and ESR, UREA and Electrolytes",5,0.41,6,2,4,"4, 4, 2, 3, 1","1, 0, 0, 2, 1",1,Not Provided,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS, ADULT ONSET STILL'S DISEASE, RHEUMATIC FEVER, SYSTEMIC SCLEROSIS",1,RHEUMATOID ARTHRITIS,1,4,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS",1
21njc9,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,6,0,6,6,1,"Allergies, Social History, Medication, Present Illness History, Past Medical History, Family History",6,0.28,6,3,9,"9, 9, 4, 3, 3, 3","3, 3, 3, 3, 3, 3",3,Not Provided,"MENINGITIS, ENCEPHALITIS, SUBARACHNOID HAEMORRHAGE, SEPSIS, STROKE, BRAIN ANEURYSM",1,MENINGITIS,1,9,"MENINGITIS, ENCEPHALITIS",1
21njc9,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,14,0,12,0,12,13,0.923076923,"Assess Eyes, Neurologic Exam Record, Auscultate the Heart, Take Pulse, Measure Blood Pressure, Measure Temperature, Auscultate Lungs, Assess Respiratory Rate, Neck/Throat Examination, Assess Head, Assess Extremities, Abdomen Examination",6,0.42,6,3,9,"9, 9, 4, 3, 6, 3","3, 3, 3, 3, 3, 3",3,Not Provided,"MENINGITIS, ENCEPHALITIS, SUBARACHNOID HAEMORRHAGE, SEPSIS, STROKE, BRAIN ANEURYSM",1,MENINGITIS,1,9,"MENINGITIS, ENCEPHALITIS",1
21njc9,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,9,0,9,2,7,10,0.7,"ECG, FBC, Clotting Test, Venous Blood Gas, Past Medical History, Present Illness History, UREA and Electrolytes, Urine Dipstick, Other Biochemistry Tests",8,0.64,6,3,9,"6, 6, 4, 3, 6, 3, 9, 7","3, 3, 3, 3, 3, 3, 3, 2",3,Not Provided,"MENINGITIS, ENCEPHALITIS, SUBARACHNOID HAEMORRHAGE, SEPSIS, STROKE, BRAIN ANEURYSM, HAEMOLYTIC UREMIC SYNDROME, AUTOIMMUNE HAEMOLYTIC ANAEMIA",1,MENINGITIS,1,9,HAEMOLYTIC UREMIC SYNDROME,0
21njc9,2,1,Patient History,TEMPORAL ARTERITIS,6,0,6,0,6,6,1,"Present Illness History, Medication, Past Medical History, Allergies, Family History, Social History",4,0.38,4,3,9,"9, 3, 2, 6","3, 1, 0, 1",3,Not Provided,"SEPTIC ARTHRITIS, POLYMYALGIA RHUMATICA, OSTEOARTHRITIS, REACTIVE ARTHRITIS",1,POLYMYALGIA RHUMATICA,2,9,SEPTIC ARTHRITIS,1
21njc9,2,2,Physical Exmination,TEMPORAL ARTERITIS,13,0,13,0,13,13,1,"Neurologic Exam Record, Assess Extremities, Measure Blood Pressure, Assess Head, Assess Respiratory Rate, Neck/Throat Examination, Take Pulse, Rectal Examination, Auscultate the Heart, Measure Temperature, Abdomen Examination, Assess Eyes, Auscultate Lungs",5,0.68,4,3,9,"7, 9, 2, 6, 9","3, 1, 0, 1, 3",1,Not Provided,"SEPTIC ARTHRITIS, POLYMYALGIA RHUMATICA, OSTEOARTHRITIS, REACTIVE ARTHRITIS, TEMPORAL ARTERITIS",1,POLYMYALGIA RHUMATICA,2,9,"POLYMYALGIA RHUMATICA, TEMPORAL ARTERITIS",1
21njc9,2,3,Testing,TEMPORAL ARTERITIS,2,0,2,0,2,10,0.2,"CRP and ESR, FBC",5,0.98,4,3,10,"4, 10, 2, 6, 10","3, 1, 0, 1, 3",1,"Refer to Rheumatology
High Dose Steroid Treatment (start immediately - 60mg I think - reducing dose progressively)","SEPTIC ARTHRITIS, POLYMYALGIA RHUMATICA, OSTEOARTHRITIS, REACTIVE ARTHRITIS, TEMPORAL ARTERITIS",1,POLYMYALGIA RHUMATICA,2,10,"POLYMYALGIA RHUMATICA, TEMPORAL ARTERITIS",1
21njc9,3,1,Patient History,MILIARY TB,7,0,6,0,6,6,1,"Present Illness History, Medication, Past Medical History, Social History, Family History, Allergies",3,0.21,8,2,8,"8, 6, 1","2, 1, 2",2,Not Provided,"ACUTE MYELOID LEUKAEMIA, INFECTION, BREAST CANCER",0,0,0,8,ACUTE MYELOID LEUKAEMIA,0
21njc9,3,2,Physical Exmination,MILIARY TB,13,0,13,0,13,13,1,"Measure Blood Pressure, Assess Respiratory Rate, Assess Eyes, Auscultate Lungs, Abdomen Examination, Assess Head, Rectal Examination, Take Pulse, Auscultate the Heart, Assess Extremities, Neurologic Exam Record, Neck/Throat Examination, Measure Temperature",3,0.4,8,2,8,"8, 6, 1","2, 1, 2",2,Not Provided,"ACUTE MYELOID LEUKAEMIA, INFECTION, BREAST CANCER",0,0,0,8,ACUTE MYELOID LEUKAEMIA,0
21njc9,3,3,Testing,MILIARY TB,5,0,5,0,5,10,0.5,"FBC, Venous Blood Gas, Chest X-Ray, ECG, Clotting Test",3,0.56,8,2,9,"9, 1, 1","2, 1, 2",2,"Refer to Haematology
","ACUTE MYELOID LEUKAEMIA, INFECTION, BREAST CANCER",0,0,0,9,ACUTE MYELOID LEUKAEMIA,0
21njc9,4,1,Patient History,ULCERATIVE COLITIS,6,0,6,0,6,6,1,"Allergies, Medication, Past Medical History, Present Illness History, Social History, Family History",2,0.61,3,2,9,"9, 6","1, 2",1,Not Provided,"DIVERTICULITIS (ACUTE EXACERBATION), BOWEL CANCER",1,DIVERTICULITIS (ACUTE EXACERBATION),1,9,DIVERTICULITIS (ACUTE EXACERBATION),1
21njc9,4,2,Physical Exmination,ULCERATIVE COLITIS,10,0,10,0,10,13,0.769230769,"Abdomen Examination, Measure Temperature, Measure Blood Pressure, Assess Extremities, Rectal Examination, Neck/Throat Examination, Assess Eyes, Assess Respiratory Rate, Assess Head, Take Pulse",2,0.66,3,2,9,"9, 6","1, 2",1,Not Provided,"DIVERTICULITIS (ACUTE EXACERBATION), BOWEL CANCER",1,DIVERTICULITIS (ACUTE EXACERBATION),1,9,DIVERTICULITIS (ACUTE EXACERBATION),1
21njc9,4,3,Testing,ULCERATIVE COLITIS,3,0,3,0,3,10,0.3,"FBC, UREA and Electrolytes, ECG",2,0.88,3,2,10,"10, 4","1, 2",1,"Start pt on antibiotics
Advice from gastro 
diet change","DIVERTICULITIS (ACUTE EXACERBATION), BOWEL CANCER",1,DIVERTICULITIS (ACUTE EXACERBATION),1,10,DIVERTICULITIS (ACUTE EXACERBATION),1
21njc9,5,1,Patient History,GUILLAINBARRE SYNDROME,7,0,6,0,6,6,1,"Family History, Past Medical History, Allergies, Present Illness History, Social History, Medication",3,0.35,10,3,8,"8, 3, 3","3, 2, 2",3,Not Provided,"STROKE, VERTEBRAL CANCER, VERTEBRAL FRACTURE (OSTEOPOROSIS)",0,0,0,8,STROKE,0
21njc9,5,2,Physical Exmination,GUILLAINBARRE SYNDROME,11,0,11,0,11,13,0.846153846,"Measure Temperature, Auscultate the Heart, Measure Blood Pressure, Neurologic Exam Record, Neck/Throat Examination, Assess Eyes, Take Pulse, Auscultate Lungs, Assess Head, Rectal Examination, Assess Extremities",6,0.58,10,3,8,"5, 3, 3, 8, 6, 2","3, 2, 2, 2, 2, 2",2,Not Provided,"STROKE, VERTEBRAL CANCER, VERTEBRAL FRACTURE (OSTEOPOROSIS), GILLAN BARRE SYNDROME, OSTEOMYLITIS, SPACE OCCUPYING LESION (BRAIN)",1,GILLAN BARRE SYNDROME,4,8,GILLAN BARRE SYNDROME,1
21njc9,5,3,Testing,GUILLAINBARRE SYNDROME,6,0,6,0,6,10,0.6,"CRP and ESR, Abdominal CT Scan, Chest X-Ray, FBC, ECG, UREA and Electrolytes",6,0.21,10,3,8,"5, 3, 3, 8, 6, 2","3, 2, 2, 2, 2, 2",2,"CT Scan (Brain for Space Occupying Lesion / Stroke)
MRI - Head / Spine
Advice from Neuro on Gillan Barre Syndrome?
Lumbar Puncture ","STROKE, VERTEBRAL CANCER, VERTEBRAL FRACTURE (OSTEOPOROSIS), GILLAN BARRE SYNDROME, OSTEOMYLITIS, SPACE OCCUPYING LESION (BRAIN)",1,GILLAN BARRE SYNDROME,4,8,GILLAN BARRE SYNDROME,1
21njc9,6,1,Patient History,AORTIC DISSECTION,6,0,6,0,6,6,1,"Past Medical History, Allergies, Social History, Family History, Medication, Present Illness History",5,0.55,10,3,9,"9, 2, 3, 5, 3","1, 2, 2, 3, 1",1,Not Provided,"HEART FAILURE, TB, LUNG CANCER, ACUTE CORONARY SYNDROME, PERICARDITIS",0,0,0,9,HEART FAILURE,0
21njc9,6,2,Physical Exmination,AORTIC DISSECTION,10,0,10,0,10,13,0.769230769,"Assess Respiratory Rate, Auscultate Lungs, Measure Blood Pressure, Auscultate the Heart, Measure Temperature, Neck/Throat Examination, Assess Head, Assess Extremities, Take Pulse, Neurologic Exam Record",6,0.54,10,3,9,"9, 2, 3, 5, 3, 7","1, 2, 2, 3, 1, 3",1,Not Provided,"HEART FAILURE, TB, LUNG CANCER, ACUTE CORONARY SYNDROME, PERICARDITIS, AORTIC DISSECTION",1,AORTIC DISSECTION,6,9,HEART FAILURE,0
21njc9,6,3,Testing,AORTIC DISSECTION,7,0,6,0,6,10,0.6,"Abdominal CT Scan, Chest X-Ray, Other Biochemistry Tests, UREA and Electrolytes, FBC, ECG",6,0.14,10,3,10,"10, 7, 9, 3, 3, 2","1, 2, 2, 3, 1, 3",1,"Test for TB
Refer to cardiology (Heart failure opinion, increase dose of furosemide for symptom relief, control of BP)
CT Chest - Lung Cancer
","HEART FAILURE, TB, LUNG CANCER, ACUTE CORONARY SYNDROME, PERICARDITIS, AORTIC DISSECTION",1,AORTIC DISSECTION,6,10,HEART FAILURE,0
2btrjl,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,6,0,6,0,6,6,1,"Family History, Present Illness History, Allergies, Social History, Past Medical History, Medication",3,0.38,6,2,5,"5, 5, 2","0, 2, 0",0,Not Provided,"MIGRAINE, STROKE, DRUGS/ALCOHOL",0,0,0,5,"MIGRAINE, STROKE",0
2btrjl,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,3,0,3,0,3,13,0.230769231,"Measure Temperature, Neurologic Exam Record, Assess Eyes",4,0.42,6,2,5,"5, 5, 2, 5","0, 2, 0, 2",0,Not Provided,"MIGRAINE, STROKE, DRUGS/ALCOHOL, INFECTION",0,0,0,5,"MIGRAINE, STROKE, INFECTION",0
2btrjl,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,3,0,3,0,3,10,0.3,"CRP and ESR, FBC, Clotting Test",4,0.48,6,2,6,"6, 6, 2, 5","0, 2, 0, 2",0,"full neuro exam
neuro input
CT scan  /- LP","MIGRAINE, STROKE, DRUGS/ALCOHOL, INFECTION",0,0,0,6,"MIGRAINE, STROKE",0
2btrjl,2,1,Patient History,AORTIC DISSECTION,6,0,6,0,6,6,1,"Social History, Past Medical History, Medication, Allergies, Present Illness History, Family History",5,0.36,4,2,5,"2, 5, 4, 4, 5","0, 2, 1, 1, 2",2,Not Provided,"ASTHMA/COPD, PE, FLUID OVERLOAD, TB, PNEUMOTHORAX",1,PE,2,5,"PE, PNEUMOTHORAX",1
2btrjl,2,2,Physical Exmination,AORTIC DISSECTION,4,0,4,0,4,13,0.307692308,"Auscultate Lungs, Auscultate the Heart, Assess Respiratory Rate, Measure Temperature",6,0.41,4,2,5,"2, 5, 4, 4, 5, 5","0, 2, 1, 1, 2, 1",2,Not Provided,"ASTHMA/COPD, PE, FLUID OVERLOAD, TB, PNEUMOTHORAX, INFECTION",1,PE,2,5,"PE, PNEUMOTHORAX, INFECTION",1
