participantID,trialNum,stage,stageName,trueCondition,differentials,correct,correctDiagnosisText,correctDiagnosisIdx,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
21njc9,2,3,Testing,TEMPORAL ARTERITIS,"SEPTIC ARTHRITIS, POLYMYALGIA RHUMATICA, OSTEOARTHRITIS, REACTIVE ARTHRITIS, TEMPORAL ARTERITIS",1,POLYMYALGIA RHUMATICA,2,10,"POLYMYALGIA RHUMATICA, TEMPORAL ARTERITIS",1
21njc9,3,1,Patient History,MILIARY TB,"ACUTE MYELOID LEUKAEMIA, INFECTION, BREAST CANCER",0,0,0,8,ACUTE MYELOID LEUKAEMIA,0
21njc9,3,2,Physical Exmination,MILIARY TB,"ACUTE MYELOID LEUKAEMIA, INFECTION, BREAST CANCER",0,0,0,8,ACUTE MYELOID LEUKAEMIA,0
21njc9,3,3,Testing,MILIARY TB,"ACUTE MYELOID LEUKAEMIA, INFECTION, BREAST CANCER",0,0,0,9,ACUTE MYELOID LEUKAEMIA,0
21njc9,4,1,Patient History,ULCERATIVE COLITIS,"DIVERTICULITIS (ACUTE EXACERBATION), BOWEL CANCER",1,DIVERTICULITIS (ACUTE EXACERBATION),1,9,DIVERTICULITIS (ACUTE EXACERBATION),1
21njc9,4,2,Physical Exmination,ULCERATIVE COLITIS,"DIVERTICULITIS (ACUTE EXACERBATION), BOWEL CANCER",1,DIVERTICULITIS (ACUTE EXACERBATION),1,9,DIVERTICULITIS (ACUTE EXACERBATION),1
21njc9,4,3,Testing,ULCERATIVE COLITIS,"DIVERTICULITIS (ACUTE EXACERBATION), BOWEL CANCER",1,DIVERTICULITIS (ACUTE EXACERBATION),1,10,DIVERTICULITIS (ACUTE EXACERBATION),1
21njc9,5,1,Patient History,GUILLAIN-BARRE SYNDROME,"STROKE, VERTEBRAL CANCER, VERTEBRAL FRACTURE (OSTEOPOROSIS)",0,0,0,8,STROKE,0
21njc9,5,2,Physical Exmination,GUILLAIN-BARRE SYNDROME,"STROKE, VERTEBRAL CANCER, VERTEBRAL FRACTURE (OSTEOPOROSIS), GILLAN BARRE SYNDROME, OSTEOMYLITIS, SPACE OCCUPYING LESION (BRAIN)",1,GILLAN BARRE SYNDROME,4,8,GILLAN BARRE SYNDROME,1
21njc9,5,3,Testing,GUILLAIN-BARRE SYNDROME,"STROKE, VERTEBRAL CANCER, VERTEBRAL FRACTURE (OSTEOPOROSIS), GILLAN BARRE SYNDROME, OSTEOMYLITIS, SPACE OCCUPYING LESION (BRAIN)",1,GILLAN BARRE SYNDROME,4,8,GILLAN BARRE SYNDROME,1
21njc9,6,1,Patient History,AORTIC DISSECTION,"HEART FAILURE, TB, LUNG CANCER, ACUTE CORONARY SYNDROME, PERICARDITIS",0,0,0,9,HEART FAILURE,0
21njc9,6,2,Physical Exmination,AORTIC DISSECTION,"HEART FAILURE, TB, LUNG CANCER, ACUTE CORONARY SYNDROME, PERICARDITIS, AORTIC DISSECTION",1,AORTIC DISSECTION,6,9,HEART FAILURE,0
21njc9,6,3,Testing,AORTIC DISSECTION,"HEART FAILURE, TB, LUNG CANCER, ACUTE CORONARY SYNDROME, PERICARDITIS, AORTIC DISSECTION",1,AORTIC DISSECTION,6,10,HEART FAILURE,0
2btrjl,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MIGRAINE, STROKE, DRUGS/ALCOHOL",0,0,0,5,"MIGRAINE, STROKE",0
2btrjl,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MIGRAINE, STROKE, DRUGS/ALCOHOL, INFECTION",0,0,0,5,"MIGRAINE, STROKE, INFECTION",0
2btrjl,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MIGRAINE, STROKE, DRUGS/ALCOHOL, INFECTION",0,0,0,6,"MIGRAINE, STROKE",0
2btrjl,2,1,Patient History,AORTIC DISSECTION,"ASTHMA/COPD, PE, FLUID OVERLOAD, TB, PNEUMOTHORAX",1,PE,2,5,"PE, PNEUMOTHORAX",1
2btrjl,2,2,Physical Exmination,AORTIC DISSECTION,"ASTHMA/COPD, PE, FLUID OVERLOAD, TB, PNEUMOTHORAX, INFECTION",1,PE,2,5,"PE, PNEUMOTHORAX, INFECTION",1
2btrjl,2,3,Testing,AORTIC DISSECTION,"ASTHMA/COPD, PE, FLUID OVERLOAD, TB, PNEUMOTHORAX, INFECTION",1,PE,2,6,FLUID OVERLOAD,0
2btrjl,3,1,Patient History,MILIARY TB,"INFECTION, TRANSFORMATION OF MYELODYSPLASTIC",0,0,0,5,TRANSFORMATION OF MYELODYSPLASTIC,0
2btrjl,3,2,Physical Exmination,MILIARY TB,"INFECTION, TRANSFORMATION OF MYELODYSPLASTIC",0,0,0,6,INFECTION,0
2btrjl,3,3,Testing,MILIARY TB,"INFECTION, TRANSFORMATION OF MYELODYSPLASTIC",0,0,0,6,INFECTION,0
2btrjl,4,1,Patient History,GUILLAIN-BARRE SYNDROME,"STROKE, CAUDA EQUINA",0,0,0,5,"STROKE, CAUDA EQUINA",1
2btrjl,4,2,Physical Exmination,GUILLAIN-BARRE SYNDROME,"STROKE, CAUDA EQUINA",0,0,0,5,"STROKE, CAUDA EQUINA",1
2btrjl,4,3,Testing,GUILLAIN-BARRE SYNDROME,"STROKE, CAUDA EQUINA",0,0,0,5,"STROKE, CAUDA EQUINA",1
2btrjl,5,1,Patient History,TEMPORAL ARTERITIS,"MSK, ARTHRTIS, INFECTION",0,0,0,6,INFECTION,0
2btrjl,5,2,Physical Exmination,TEMPORAL ARTERITIS,"MSK, ARTHRTIS, INFECTION",0,0,0,6,INFECTION,0
2btrjl,5,3,Testing,TEMPORAL ARTERITIS,"MSK, ARTHRTIS, INFECTION, BLEEDING ULCER",0,0,0,6,"INFECTION, BLEEDING ULCER",0
2btrjl,6,1,Patient History,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, IBD, MESENTERIC ISCAHEMIA",1,DIVERTICULITIS,1,6,BOWEL CANCER,0
2btrjl,6,2,Physical Exmination,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, IBD, MESENTERIC ISCAHEMIA",1,DIVERTICULITIS,1,6,BOWEL CANCER,0
2btrjl,6,3,Testing,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, IBD, MESENTERIC ISCAHEMIA",1,DIVERTICULITIS,1,6,BOWEL CANCER,0
2h6c7w,1,1,Patient History,AORTIC DISSECTION,"UNSTABLE ANGINA, MYOCARDIAL INFARCTION, PE",1,PE,3,8,UNSTABLE ANGINA,0
2h6c7w,1,2,Physical Exmination,AORTIC DISSECTION,"UNSTABLE ANGINA, MYOCARDIAL INFARCTION, PE",1,PE,3,8,UNSTABLE ANGINA,0
2h6c7w,1,3,Testing,AORTIC DISSECTION,"UNSTABLE ANGINA, MYOCARDIAL INFARCTION, PE, DECOMPENSATED HEART FAILURE, AORTIC STENOSIS",1,PE,3,9,DECOMPENSATED HEART FAILURE,0
2h6c7w,2,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, SUBARACHNOID HAEMORRHAGE, STROKE",1,MENINGITIS,1,8,"MENINGITIS, SUBARACHNOID HAEMORRHAGE",1
2h6c7w,2,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, SUBARACHNOID HAEMORRHAGE, STROKE",1,MENINGITIS,1,8,"MENINGITIS, SUBARACHNOID HAEMORRHAGE",1
2h6c7w,2,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, SUBARACHNOID HAEMORRHAGE, STROKE",1,MENINGITIS,1,10,SUBARACHNOID HAEMORRHAGE,0
2h6c7w,3,1,Patient History,ULCERATIVE COLITIS,"DIVERTICULITIS, COLON CA",1,DIVERTICULITIS,1,8,DIVERTICULITIS,1
2h6c7w,3,2,Physical Exmination,ULCERATIVE COLITIS,"DIVERTICULITIS, COLON CA",1,DIVERTICULITIS,1,8,DIVERTICULITIS,1
2h6c7w,3,3,Testing,ULCERATIVE COLITIS,"DIVERTICULITIS, COLON CA",1,DIVERTICULITIS,1,9,DIVERTICULITIS,1
2h6c7w,4,1,Patient History,MILIARY TB,"LYMPHOMA, SEPSIS, MYELOMA",1,LYMPHOMA,1,8,SEPSIS,0
2h6c7w,4,2,Physical Exmination,MILIARY TB,"LYMPHOMA, SEPSIS, MYELOMA, COMMUNITY ACQUIRED PNEUMONIA (CAUSING SEPSIS)",1,LYMPHOMA,1,9,COMMUNITY ACQUIRED PNEUMONIA (CAUSING SEPSIS),0
2h6c7w,4,3,Testing,MILIARY TB,"LYMPHOMA, SEPSIS, MYELOMA, COMMUNITY ACQUIRED PNEUMONIA (CAUSING SEPSIS)",1,LYMPHOMA,1,9,COMMUNITY ACQUIRED PNEUMONIA (CAUSING SEPSIS),0
2h6c7w,5,1,Patient History,GUILLAIN-BARRE SYNDROME,"STROKE, MULTIPLE SCLEROSIS (ACUTE), ALS",0,0,0,8,MULTIPLE SCLEROSIS (ACUTE),0
2h6c7w,5,2,Physical Exmination,GUILLAIN-BARRE SYNDROME,"STROKE, MULTIPLE SCLEROSIS (ACUTE), ALS, CORD COMPRESSION, POLYMYLAGIA RHEUMATICA",1,POLYMYLAGIA RHEUMATICA,5,8,MULTIPLE SCLEROSIS (ACUTE),0
2h6c7w,5,3,Testing,GUILLAIN-BARRE SYNDROME,"STROKE, MULTIPLE SCLEROSIS (ACUTE), ALS, CORD COMPRESSION, POLYMYLAGIA RHEUMATICA",1,POLYMYLAGIA RHEUMATICA,5,8,MULTIPLE SCLEROSIS (ACUTE),0
2h6c7w,6,1,Patient History,TEMPORAL ARTERITIS,"OSTEOARTHRITIS, RHEUMATOID ARTHRITIS, SEPTIC ARTHRITIS, PMR",1,RHEUMATOID ARTHRITIS,2,7,SEPTIC ARTHRITIS,1
2h6c7w,6,2,Physical Exmination,TEMPORAL ARTERITIS,"OSTEOARTHRITIS, RHEUMATOID ARTHRITIS, SEPTIC ARTHRITIS, PMR",1,RHEUMATOID ARTHRITIS,2,7,SEPTIC ARTHRITIS,1
2h6c7w,6,3,Testing,TEMPORAL ARTERITIS,"OSTEOARTHRITIS, RHEUMATOID ARTHRITIS, SEPTIC ARTHRITIS, PMR",1,RHEUMATOID ARTHRITIS,2,7,"SEPTIC ARTHRITIS, PMR",1
2jql9d,1,1,Patient History,AORTIC DISSECTION,"HEART FAILURE, PULMONARY EMBOLISM, COPD, LUNG CANCER, PNEUMONIA, STABLE ANGINA, ANXIETY",1,PULMONARY EMBOLISM,2,8,ANXIETY,0
2jql9d,1,2,Physical Exmination,AORTIC DISSECTION,"HEART FAILURE, PULMONARY EMBOLISM, COPD, PNEUMONIA",1,PULMONARY EMBOLISM,2,7,COPD,0
2jql9d,1,3,Testing,AORTIC DISSECTION,"HEART FAILURE, PULMONARY EMBOLISM",1,PULMONARY EMBOLISM,2,8,HEART FAILURE,0
2jql9d,2,1,Patient History,MILIARY TB,"ACUTE MYELOID LYMPHOMA, MYELOFIBROSIS",1,ACUTE MYELOID LYMPHOMA,1,9,ACUTE MYELOID LYMPHOMA,1
2jql9d,2,2,Physical Exmination,MILIARY TB,"ACUTE MYELOID LYMPHOMA, MYELOFIBROSIS, SEPSIS",1,ACUTE MYELOID LYMPHOMA,1,10,SEPSIS,0
2jql9d,2,3,Testing,MILIARY TB,"ACUTE MYELOID LYMPHOMA, SEPSIS",1,ACUTE MYELOID LYMPHOMA,1,10,SEPSIS,0
2jql9d,3,1,Patient History,ULCERATIVE COLITIS,"COLON CANCER, INFLAMMATORY BOWEL DISEASE, INFECTION, ISCHAEMIC COLITIS, LYMPHOMA",1,ISCHAEMIC COLITIS,4,9,INFECTION,0
2jql9d,3,2,Physical Exmination,ULCERATIVE COLITIS,"COLON CANCER, INFLAMMATORY BOWEL DISEASE, INFECTION, ISCHAEMIC COLITIS, LYMPHOMA",1,ISCHAEMIC COLITIS,4,9,INFECTION,0
2jql9d,3,3,Testing,ULCERATIVE COLITIS,"COLON CANCER, INFLAMMATORY BOWEL DISEASE, INFECTION, ISCHAEMIC COLITIS",1,ISCHAEMIC COLITIS,4,10,ISCHAEMIC COLITIS,1
2jql9d,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"SERATONIN SYNDROME, STROKE, DRUG OVERDOSE, FACIAL PALSY",0,0,0,8,"STROKE, DRUG OVERDOSE",0
2jql9d,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"STROKE, DRUG OVERDOSE, BELLu2019S PALSY",0,0,0,8,STROKE,0
2jql9d,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"STROKE, DRUG OVERDOSE, BELLu2019S PALSY",0,0,0,8,STROKE,0
2jql9d,5,1,Patient History,TEMPORAL ARTERITIS,"FIBROMYALGIA, REACTIVE ARTHRITIS, OSTEOARTHRITIS",1,REACTIVE ARTHRITIS,2,7,REACTIVE ARTHRITIS,1
2jql9d,5,2,Physical Exmination,TEMPORAL ARTERITIS,"FIBROMYALGIA, REACTIVE ARTHRITIS, OSTEOARTHRITIS, SARCOIDOSIS",1,REACTIVE ARTHRITIS,2,7,REACTIVE ARTHRITIS,1
2jql9d,5,3,Testing,TEMPORAL ARTERITIS,"FIBROMYALGIA, REACTIVE ARTHRITIS, OSTEOARTHRITIS, SARCOIDOSIS, SEPSIS",1,REACTIVE ARTHRITIS,2,10,SEPSIS,0
2jql9d,6,1,Patient History,GUILLAINBARRE SYNDROME,"STROKE, MOTOR NEURONE DISEASE, SPINAL CORD COMPRESSION",0,0,0,9,STROKE,0
2jql9d,6,2,Physical Exmination,GUILLAINBARRE SYNDROME,"STROKE, SPINAL CORD COMPRESSION, LOWER MOTOR NEURONE DISEASE",0,0,0,9,STROKE,0
2jql9d,6,3,Testing,GUILLAINBARRE SYNDROME,"STROKE, SPINAL CORD COMPRESSION, LOWER MOTOR NEURONE DISEASE",0,0,0,9,STROKE,0
2l9drc,1,1,Patient History,AORTIC DISSECTION,"MI, ANXIETY, HEART FAILURE, PE",1,PE,4,8,PE,1
2l9drc,1,2,Physical Exmination,AORTIC DISSECTION,"MI, ANXIETY, HEART FAILURE, PE, AORTIC STENOSIS",1,PE,4,10,AORTIC STENOSIS,0
2l9drc,1,3,Testing,AORTIC DISSECTION,"MI, ANXIETY, HEART FAILURE, PE, AORTIC STENOSIS",1,PE,4,10,AORTIC STENOSIS,0
2l9drc,2,1,Patient History,TEMPORAL ARTERITIS,"ANAEMIA, GI BLEED",0,0,0,7,ANAEMIA,0
2l9drc,2,2,Physical Exmination,TEMPORAL ARTERITIS,"ANAEMIA, GI BLEED, ARTHRITIS",0,0,0,7,ANAEMIA,0
2l9drc,2,3,Testing,TEMPORAL ARTERITIS,"ANAEMIA, GI BLEED, ARTHRITIS, RHEUMATOID ARTHRITIS",1,RHEUMATOID ARTHRITIS,4,9,RHEUMATOID ARTHRITIS,1
2l9drc,3,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"STROKE, TIA",0,0,0,9,"STROKE, TIA",0
2l9drc,3,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"STROKE, TIA, BRAIN TUMOUR",0,0,0,9,"STROKE, TIA",0
2l9drc,3,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"STROKE, TIA, BRAIN TUMOUR",0,0,0,9,"STROKE, TIA",0
2l9drc,4,1,Patient History,GUILLAIN-BARRE SYNDROME,"STROKE, CORD COMPRESSION, MYOSITIS",0,0,0,8,CORD COMPRESSION,0
2l9drc,4,2,Physical Exmination,GUILLAIN-BARRE SYNDROME,"STROKE, CORD COMPRESSION, MYOSITIS",0,0,0,10,STROKE,0
2l9drc,4,3,Testing,GUILLAIN-BARRE SYNDROME,"STROKE, CORD COMPRESSION, MYOSITIS",0,0,0,10,STROKE,0
2l9drc,5,1,Patient History,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, IBD",1,DIVERTICULITIS,1,10,DIVERTICULITIS,1
2l9drc,5,2,Physical Exmination,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, IBD",1,DIVERTICULITIS,1,10,"DIVERTICULITIS, IBD",1
2l9drc,5,3,Testing,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, IBD",1,DIVERTICULITIS,1,10,IBD,0
2l9drc,6,1,Patient History,MILIARY TB,"MYELODYPLASIA FLARE, BLOOD CANCER",0,0,0,10,BLOOD CANCER,0
2l9drc,6,2,Physical Exmination,MILIARY TB,"MYELODYPLASIA FLARE, BLOOD CANCER, PNEUMONIA",0,0,0,10,BLOOD CANCER,0
2l9drc,6,3,Testing,MILIARY TB,"MYELODYPLASIA FLARE, BLOOD CANCER, PNEUMONIA, LUNG MASS",0,0,0,10,BLOOD CANCER,0
2nx9kt,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, STROKE, ENCEPHALITIS",1,MENINGITIS,1,5,STROKE,0
2nx9kt,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, STROKE, ENCEPHALITIS",1,MENINGITIS,1,6,"MENINGITIS, STROKE",1
2nx9kt,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, STROKE, BRAIN HAEMORRHAGE",1,MENINGITIS,1,6,"MENINGITIS, STROKE",1
2nx9kt,2,1,Patient History,MILIARY TB,"LEUKAEMIA, LYMPHOMA, VIRAL INFECTION",1,LYMPHOMA,2,6,LYMPHOMA,1
2nx9kt,2,2,Physical Exmination,MILIARY TB,"LEUKAEMIA, LYMPHOMA, VIRAL INFECTION, PNEUMONIA, SPONTANOEUS BACTERIAL PERITONITIS",1,LYMPHOMA,2,6,"LYMPHOMA, PNEUMONIA",1
2nx9kt,2,3,Testing,MILIARY TB,"LEUKAEMIA, LYMPHOMA, VIRAL INFECTION, PNEUMONIA, SPONTANOEUS BACTERIAL PERITONITIS, SMALL CELL LUNG CANCER",1,LYMPHOMA,2,8,SMALL CELL LUNG CANCER,0
2nx9kt,3,1,Patient History,TEMPORAL ARTERITIS,"RHEUMATOID ARTHRITIS, POLYMYALGIA RHEUMATICA, REACTIVE ARTHRITIS",1,POLYMYALGIA RHEUMATICA,2,4,"RHEUMATOID ARTHRITIS, POLYMYALGIA RHEUMATICA, REACTIVE ARTHRITIS",1
